Issue key,Issue id,Status,Reporter,Created_x,Due Date,Resolved,Customer,Type of Request,time_on_codebusters,time_outside_codebusters,comminicate_created
CI-6198,360615,Closed,yutaka,2022-01-04 04:53:00,14/Jan/22 12:00 AM,2022-01-14 09:11:00,msg systems,Service Request (SR),2736.0,13290.0,2022-01-05 03:41:00
CI-6251,361875,Closed,yutaka,2022-01-11 04:13:00,14/Jan/22 12:00 AM,2022-01-14 09:11:00,HRG,Service Request (SR),4571.0,47.0,2022-01-14 08:24:00
CI-6253,361976,Closed,yutaka,2022-01-11 12:19:00,17/Jan/22 12:00 AM,2022-01-17 09:29:00,Heidelberg Cement,Incident Request (IR),8455.000000000002,15.0,2022-01-17 09:14:00
CI-6225,361463,Closed,nsanchez,2022-01-07 10:13:00,13/Jan/22 12:00 AM,2022-01-17 14:49:00,Porsche,Service Request (SR),8821.0,5855.0,2022-01-17 14:04:00
CI-6228,361609,Closed,yutaka,2022-01-08 01:33:00,14/Jan/22 12:00 AM,2022-01-18 01:24:00,Endress Hauser,Service Request (SR),12994.0,1397.0,2022-01-17 02:07:00
CI-6229,361615,Closed,guinoo,2022-01-10 01:37:00,12/Jan/22 12:00 AM,2022-01-18 01:57:00,Allianz,Service Request (SR),4386.0,1712.0,2022-01-13 15:15:00
CI-6224,361425,Closed,yutaka,2022-01-07 06:54:00,10/Jan/22 12:00 AM,2022-01-18 13:37:00,Daimler (MFTBC),Incident Request (IR),7274.0,8969.0,2022-01-12 08:08:00
CI-6278,362947,Closed,guinoo,2022-01-17 02:37:00,21/Jan/22 12:00 AM,2022-01-19 00:03:00,Porsche,Service Request (SR),4015.0000000000005,1.0000000000000002,2022-01-19 00:02:00
CI-6277,362940,Closed,guinoo,2022-01-17 02:02:00,21/Jan/22 12:00 AM,2022-01-19 06:02:00,VW,Service Request (SR),47.0,3073.0,2022-01-18 01:19:00
CI-6307,363553,Closed,guinoo,2022-01-19 01:23:00,25/Jan/22 12:00 AM,2022-01-19 09:07:00,Rheinmetall,Service Request (SR),49.0,415.0,2022-01-19 09:07:00
CI-6262,362353,Closed,aruizrobles,2022-01-12 17:26:00,19/Jan/22 12:00 AM,2022-01-19 09:56:00,Numiga,Service Request (SR),9624.0,6.0,2022-01-19 09:50:00
CI-6250,361870,Closed,ngraf,2022-01-10 21:22:00,13/Jan/22 12:00 AM,2022-01-19 13:42:00,ArcelorMittal,Incident Request (IR),10414.0,2101.0000000000005,2022-01-19 13:42:00
CI-6231,361793,Closed,ssanz,2022-01-10 15:24:00,17/Jan/22 12:00 AM,2022-01-20 08:51:00,ArcelorMittal,Incident Request (IR),10514.0,3493.0,2022-01-20 07:29:00
CI-6232,361804,Closed,ssanz,2022-01-10 15:47:00,17/Jan/22 12:00 AM,2022-01-20 08:51:00,ArcelorMittal,Incident Request (IR),10491.0,3493.0,2022-01-20 07:29:00
CI-6310,363571,Closed,rohkamm,2022-01-19 07:29:00,19/Jan/22 12:00 AM,2022-01-20 10:29:00,i:FAO,Service Request (SR),1620.0,0.0,2022-01-20 10:29:00
CI-6290,363473,Closed,nsanchez,2022-01-18 16:14:00,24/Jan/22 12:00 AM,2022-01-20 12:43:00,Porsche,Service Request (SR),104.0,2566.0,2022-01-20 12:43:00
CI-6252,361888,Closed,hilbich,2022-01-11 08:10:00,18/Jan/22 12:00 AM,2022-01-20 14:06:00,TUI AG,Incident Request (IR),13239.0,77.0,2022-01-20 12:49:00
CI-6260,362196,Closed,ngraf,2022-01-12 11:51:00,13/Jan/22 12:00 AM,2022-01-20 16:17:00,Porsche,Service Request (SR),18723.0,1645.0,2022-01-20 16:17:00
CI-6315,363803,Closed,ngraf,2022-01-19 22:22:00,20/Jan/22 12:00 AM,2022-01-20 21:02:00,Bentley,Service Request (SR),52.0,1308.0,2022-01-19 23:15:00
CI-6236,361816,Closed,ssanz,2022-01-10 16:02:00,17/Jan/22 12:00 AM,2022-01-21 12:50:00,ArcelorMittal,Incident Request (IR),11070.0,4584.0,2022-01-21 09:18:00
CI-6329,364885,Closed,salajan,2022-01-24 09:50:00,24/Jan/22 12:00 AM,2022-01-24 13:10:00,Amadeus,Incident Request (IR),200.0,0.0,2022-01-24 13:10:00
CI-6331,365070,Closed,salajan,2022-01-24 15:15:00,25/Jan/22 12:00 AM,2022-01-24 15:43:00,i:FAO,Service Request (SR),21.0,7.0,2022-01-24 15:43:00
CI-6328,364750,Closed,guinoo,2022-01-24 07:54:00,28/Jan/22 12:00 AM,2022-01-24 23:54:00,msg systems,Service Request (SR),97.0,888.0,2022-01-24 23:54:00
CI-6221,361181,Closed,yutaka,2022-01-06 03:21:00,14/Jan/22 12:00 AM,2022-01-25 16:25:00,DERPART,Incident Request (IR),9963.0,18181.0,2022-01-13 13:52:00
CI-6335,365312,Closed,nsanchez,2022-01-25 13:08:00,31/Jan/22 12:00 AM,2022-01-26 12:54:00,Eberspacher,Service Request (SR),1045.0000000000002,381.0,2022-01-26 06:33:00
CI-6270,362813,Closed,nsanchez,2022-01-14 13:53:00,24/Jan/22 12:00 AM,2022-01-26 15:55:00,Porsche,Service Request (SR),14840.0,2562.0,2022-01-26 15:54:00
CI-6289,363351,Closed,ssanz,2022-01-18 10:22:00,21/Jan/22 12:00 AM,2022-01-26 16:08:00,Porsche,Service Request (SR),10371.0,1495.0,2022-01-25 15:13:00
CI-6271,362815,Closed,nsanchez,2022-01-14 14:00:00,24/Jan/22 12:00 AM,2022-01-26 16:18:00,Porsche,Service Request (SR),17403.000000000004,15.0,2022-01-26 16:04:00
CI-6254,361985,Closed,yutaka,2022-01-11 12:47:00,21/Jan/22 12:00 AM,2022-01-27 07:36:00,Aquila Capital,Service Request (SR),89.0,22640.0,2022-01-11 14:16:00
CI-6334,365196,Closed,yutaka,2022-01-25 08:46:00,26/Jan/22 12:00 AM,2022-01-27 07:46:00,Continental,Incident Request (IR),1721.0,1099.0,2022-01-26 13:27:00
CI-6285,363245,Closed,aruizrobles,2022-01-17 16:57:00,21/Jan/22 12:00 AM,2022-01-27 09:39:00,Numiga,Service Request (SR),13821.0,141.0,2022-01-27 07:18:00
CI-6342,365630,Closed,nsanchez,2022-01-26 14:33:00,26/Jan/22 12:00 AM,2022-01-27 11:10:00,ArcelorMittal,Incident Request (IR),1167.0,70.0,2022-01-27 10:16:00
CI-6322,364396,Closed,ssanz,2022-01-21 12:45:00,27/Jan/22 12:00 AM,2022-01-27 15:01:00,Porsche,Service Request (SR),8746.0,30.0,2022-01-27 14:33:00
CI-6288,363304,Closed,yutaka,2022-01-18 06:46:00,21/Jan/22 12:00 AM,2022-01-28 08:59:00,msg systems,Service Request (SR),11.0,14522.0,2022-01-18 06:57:00
CI-6284,363224,Closed,nsanchez,2022-01-17 16:08:00,27/Jan/22 12:00 AM,2022-01-28 12:19:00,Hugo Boss,Service Request (SR),5319.0,11596.0,2022-01-27 01:59:00
CI-6325,364677,Closed,aruizrobles,2022-01-21 17:04:00,27/Jan/22 12:00 AM,2022-01-31 09:11:00,Numiga,Service Request (SR),9964.0,3963.0000000000005,2022-01-28 10:10:00
CI-6340,365553,Closed,salajan,2022-01-26 12:57:00,09/Feb/22 12:00 AM,2022-01-31 10:44:00,TUI AG,Incident Request (IR),7067.0,0.0,2022-01-31 10:44:00
CI-6265,362667,Closed,yutaka,2022-01-14 02:23:00,21/Jan/22 12:00 AM,2022-02-02 08:18:00,Hugo Boss,Service Request (SR),95.0,27620.0,2022-01-18 01:29:00
CI-6345,365744,Closed,yutaka,2022-01-27 03:57:00,04/Feb/22 12:00 AM,2022-02-02 08:20:00,CMS Hasche Sigle,Service Request (SR),8587.000000000002,316.0,2022-02-02 08:20:00
CI-6353,366519,Closed,ngraf,2022-01-31 17:26:00,01/Feb/22 12:00 AM,2022-02-02 20:52:00,Fiege,Incident Request (IR),3086.0,0.0,2022-02-02 20:52:00
CI-6204,360687,Closed,aruizrobles,2022-01-04 10:50:00,14/Jan/22 12:00 AM,2022-02-03 09:05:00,Numiga,Service Request (SR),34833.00000000001,8262.000000000002,2022-02-02 15:49:00
CI-6263,362387,Closed,ssanz,2022-01-13 02:17:00,19/Jan/22 12:00 AM,2022-02-03 15:34:00,Allianz,Service Request (SR),29629.0,1408.0,2022-02-02 16:06:00
CI-6339,365543,Closed,yutaka,2022-01-26 12:42:00,31/Jan/22 12:00 AM,2022-02-04 00:48:00,MFTBC,Service Request (SR),9165.0,3081.0,2022-02-01 10:12:00
CI-6293,363522,Closed,mkuchciak,2022-01-18 20:01:00,04/Feb/22 12:00 AM,2022-02-04 12:25:00,Customer not yet listed,Service Request (SR),24023.0,1.0000000000000002,2022-02-04 12:24:00
CI-6295,363526,Closed,mkuchciak,2022-01-18 20:06:00,04/Feb/22 12:00 AM,2022-02-04 12:27:00,Customer not yet listed,Service Request (SR),24021.0,0.0,2022-02-04 12:27:00
CI-6294,363524,Closed,mkuchciak,2022-01-18 20:04:00,04/Feb/22 12:00 AM,2022-02-04 12:28:00,Customer not yet listed,Service Request (SR),24022.0,2.0000000000000004,2022-02-04 12:26:00
CI-6272,362917,Closed,ngraf,2022-01-14 21:59:00,20/Jan/22 12:00 AM,2022-02-04 12:43:00,Bentley,Service Request (SR),22155.0,7529.0,2022-02-02 09:21:00
CI-6273,362919,Closed,ngraf,2022-01-14 22:26:00,20/Jan/22 12:00 AM,2022-02-04 12:43:00,Bentley,Service Request (SR),22184.0,7473.0,2022-02-02 10:21:00
CI-6356,366553,Closed,ngraf,2022-01-31 22:11:00,07/Feb/22 12:00 AM,2022-02-04 12:44:00,Allianz,Service Request (SR),5193.0,0.0,2022-02-04 12:44:00
CI-6366,366917,Closed,nsanchez,2022-02-02 12:25:00,04/Feb/22 12:00 AM,2022-02-04 13:18:00,Luther,Incident Request (IR),2922.0,12.0,2022-02-04 13:06:00
CI-6199,360621,Closed,yutaka,2022-01-04 05:49:00,14/Jan/22 12:00 AM,2022-02-05 02:54:00,Endress Hauser,Service Request (SR),38683.0,7221.0,2022-02-02 11:19:00
CI-6279,362957,Closed,yutaka,2022-01-17 04:03:00,21/Jan/22 12:00 AM,2022-02-07 01:26:00,VW,Service Request (SR),4276.000000000001,25807.0,2022-01-20 03:19:00
CI-6326,364733,Closed,guinoo,2022-01-24 02:47:00,28/Jan/22 12:00 AM,2022-02-07 01:33:00,Endress Hauser,Incident Request (IR),20085.0,1.0000000000000002,2022-02-07 01:32:00
CI-6275,362936,Closed,guinoo,2022-01-17 01:07:00,21/Jan/22 12:00 AM,2022-02-07 05:42:00,msg systems,Service Request (SR),24658.0,4366.000000000001,2022-02-01 18:39:00
CI-6352,366517,Closed,aruizrobles,2022-01-31 17:26:00,04/Feb/22 12:00 AM,2022-02-07 10:01:00,Numiga,Service Request (SR),9543.0,92.0,2022-02-07 08:29:00
CI-6368,366970,Closed,ccasper,2022-02-02 15:21:00,02/Feb/22 12:00 AM,2022-02-07 13:44:00,Hugo Boss,Service Request (SR),7052.0,51.0,2022-02-07 12:53:00
CI-6373,367256,Closed,guinoo,2022-02-04 01:17:00,08/Feb/22 12:00 AM,2022-02-08 01:11:00,Lufthansa City Center,Service Request (SR),5754.0,0.0,2022-02-08 01:11:00
CI-6332,365123,Closed,nsanchez,2022-01-24 16:30:00,31/Jan/22 12:00 AM,2022-02-08 12:53:00,Porsche,Service Request (SR),11994.0,9389.0,2022-02-08 12:53:00
CI-6359,366649,Closed,wiedenroth,2022-02-01 11:50:00,10/Feb/22 12:00 AM,2022-02-08 14:44:00,Expense Development,Incident Request (IR),10086.0,168.0,2022-02-08 11:56:00
CI-6370,367014,Closed,ssanz,2022-02-02 17:20:00,11/Feb/22 12:00 AM,2022-02-09 15:40:00,Porsche,Service Request (SR),9844.0,136.00000000000003,2022-02-09 15:21:00
CI-6258,362115,Closed,marscholl,2022-01-12 08:09:00,14/Jan/22 12:00 AM,2022-02-11 11:13:00,OBB,Service Request (SR),29062.0,14322.0,2022-02-01 18:38:00
CI-6319,364180,Closed,yutaka,2022-01-21 02:40:00,28/Jan/22 12:00 AM,2022-02-14 02:17:00,VW,Service Request (SR),7399.0,27138.0,2022-02-14 02:17:00
CI-6382,368036,Closed,yutaka,2022-02-09 04:53:00,11/Feb/22 12:00 AM,2022-02-14 02:18:00,Osram,Service Request (SR),24.0,7033.0,2022-02-09 05:05:00
CI-6308,363560,Closed,guinoo,2022-01-19 03:17:00,24/Jan/22 12:00 AM,2022-02-14 03:09:00,Eberspacher,Service Request (SR),8487.000000000002,27339.0,2022-02-07 05:40:00
CI-6387,368347,Closed,yutaka,2022-02-10 09:41:00,14/Feb/22 12:00 AM,2022-02-14 12:43:00,apoBank,Service Request (SR),5350.0,592.0,2022-02-14 02:57:00
CI-6371,367071,Closed,salajan,2022-02-03 09:07:00,14/Feb/22 12:00 AM,2022-02-15 08:58:00,i:FAO,Service Request (SR),17271.000000000004,0.0,2022-02-15 08:58:00
CI-6381,368000,Closed,ssanz,2022-02-08 16:32:00,11/Feb/22 12:00 AM,2022-02-15 11:37:00,ArcelorMittal,Incident Request (IR),7057.0,2728.0,2022-02-14 12:48:00
CI-6320,364263,Closed,ssanz,2022-01-21 08:51:00,25/Jan/22 12:00 AM,2022-02-15 11:38:00,Porsche,Service Request (SR),14532.0,21636.0,2022-02-11 14:46:00
CI-6432,369154,Closed,aruizrobles,2022-02-14 13:01:00,15/Feb/22 12:00 AM,2022-02-15 11:53:00,Numiga,Incident Request (IR),1186.0,186.0,2022-02-15 08:47:00
CI-6413,368758,Closed,nsanchez,2022-02-11 11:23:00,17/Feb/22 12:00 AM,2022-02-15 11:57:00,Endress Hauser,Service Request (SR),5200.0,594.0,2022-02-15 02:04:00
CI-6337,365404,Closed,gheorghe,2022-01-25 17:37:00,01/Feb/22 12:00 AM,2022-02-15 14:29:00,ArcelorMittal,Incident Request (IR),24127.0,5925.0,2022-02-15 14:28:00
CI-6390,368498,Closed,nsanchez,2022-02-10 13:03:00,15/Feb/22 12:00 AM,2022-02-15 15:39:00,Damm,Service Request (SR),7344.0,12.0,2022-02-15 15:27:00
CI-6286,363258,Closed,adayredzhiev,2022-01-17 17:21:00,21/Jan/22 12:00 AM,2022-02-15 19:50:00,i:FAO,Service Request (SR),22602.0,19307.0,2022-02-02 10:03:00
CI-6439,369419,Closed,yutaka,2022-02-15 04:18:00,18/Feb/22 12:00 AM,2022-02-16 02:12:00,Endress Hauser,Service Request (SR),288.0,1026.0000000000002,2022-02-15 09:06:00
CI-6367,366934,Closed,nsanchez,2022-02-02 13:07:00,08/Feb/22 12:00 AM,2022-02-16 09:02:00,Aquila Capital,Incident Request (IR),18615.0,1300.0,2022-02-15 12:40:00
CI-6230,361731,Closed,nsanchez,2022-01-10 12:51:00,17/Jan/22 12:00 AM,2022-02-16 13:18:00,Rheinmetall,Service Request (SR),42893.0,10464.0,2022-02-16 13:03:00
CI-6268,362783,Closed,yutaka,2022-01-14 11:52:00,19/Jan/22 12:00 AM,2022-02-17 04:38:00,Osram,Incident Request (IR),38723.0,9803.0,2022-02-10 09:15:00
CI-6257,362070,Closed,yutaka,2022-01-11 16:16:00,21/Jan/22 12:00 AM,2022-02-17 04:41:00,Rehau,Service Request (SR),34093.00000000001,18492.0,2022-02-04 08:29:00
CI-6360,366666,Closed,aruizrobles,2022-02-01 12:15:00,08/Feb/22 12:00 AM,2022-02-17 09:05:00,Numiga,Service Request (SR),22235.0,615.0,2022-02-17 00:23:00
CI-6372,367116,Closed,nsanchez,2022-02-03 13:16:00,10/Feb/22 12:00 AM,2022-02-17 12:04:00,OBB,Service Request (SR),32273.000000000004,28.0,2022-02-17 11:36:00
CI-6389,368483,Closed,ssanz,2022-02-10 12:17:00,17/Feb/22 12:00 AM,2022-02-17 12:50:00,Porsche,Incident Request (IR),8460.000000000002,1653.0,2022-02-17 10:49:00
CI-6291,363478,Closed,ngraf,2022-01-18 16:22:00,24/Jan/22 12:00 AM,2022-02-17 14:14:00,Fiege,Service Request (SR),34098.00000000001,8974.0,2022-02-17 13:20:00
CI-6458,370207,Closed,guinoo,2022-02-17 07:12:00,18/Feb/22 12:00 AM,2022-02-18 04:55:00,Enercon,Service Request (SR),69.0,1234.0,2022-02-18 04:54:00
CI-6354,366527,Closed,aruizrobles,2022-01-31 17:45:00,04/Feb/22 12:00 AM,2022-02-18 09:58:00,Numiga,Service Request (SR),25138.0,315.0,2022-02-16 08:33:00
CI-6469,370547,Closed,hilbich,2022-02-18 08:22:00,25/Feb/22 12:00 AM,2022-02-18 10:00:00,TUI AG,Incident Request (IR),98.0,0.0,2022-02-18 10:00:00
CI-6436,369371,Closed,aruizrobles,2022-02-14 16:48:00,18/Feb/22 12:00 AM,2022-02-18 12:00:00,Numiga,Service Request (SR),5438.0,34.00000000000001,2022-02-18 11:26:00
CI-6348,366004,Closed,yutaka,2022-01-28 06:36:00,28/Jan/22 12:00 AM,2022-02-21 05:37:00,Continental,Incident Request (IR),1287.0,33214.00000000001,2022-01-28 10:15:00
CI-6347,365931,Closed,ccasper,2022-01-27 14:52:00,01/Feb/22 12:00 AM,2022-02-21 09:50:00,Hugo Boss,Service Request (SR),26395.0,9303.0,2022-02-18 17:08:00
CI-6327,364743,Closed,yutaka,2022-01-24 07:37:00,28/Jan/22 12:00 AM,2022-02-21 10:13:00,Munckhof,Service Request (SR),31328.000000000004,9148.0,2022-02-18 13:47:00
CI-6338,365443,Closed,yutaka,2022-01-26 03:19:00,28/Jan/22 12:00 AM,2022-02-21 10:14:00,Munckhof,Service Request (SR),24100.0,13755.0,2022-02-14 15:05:00
CI-6266,362679,Closed,shimizu,2022-01-14 06:41:00,31/Jan/22 12:00 AM,2022-02-21 10:47:00,Product Management,Service Request (SR),54964.0,2.0000000000000004,2022-02-21 10:45:00
CI-6434,369246,Closed,aruizrobles,2022-02-14 15:20:00,18/Feb/22 12:00 AM,2022-02-21 13:21:00,Numiga,Service Request (SR),9849.0,112.0,2022-02-21 13:12:00
CI-6316,363949,Closed,ccasper,2022-01-20 12:47:00,01/Feb/22 12:00 AM,2022-02-21 16:10:00,Hugo Boss,Service Request (SR),40681.0,5602.0,2022-02-21 14:47:00
CI-6346,365795,Closed,rohkamm,2022-01-27 10:00:00,28/Feb/22 12:00 AM,2022-02-22 10:19:00,i:FAO,Service Request (SR),37459.0,0.0,2022-02-22 10:19:00
CI-6443,369678,Closed,aklabisz,2022-02-15 12:18:00,21/Feb/22 12:00 AM,2022-02-22 12:44:00,Endress Hauser,Incident Request (IR),8437.000000000002,1668.0,2022-02-21 08:56:00
CI-6442,369504,Closed,yutaka,2022-02-15 08:19:00,18/Feb/22 12:00 AM,2022-02-22 12:50:00,DERPART,Service Request (SR),4023.0000000000005,6328.0,2022-02-18 11:26:00
CI-6450,369968,Closed,nsanchez,2022-02-16 09:52:00,24/Feb/22 12:00 AM,2022-02-23 08:31:00,Damm,Service Request (SR),7353.0,2646.0,2022-02-22 16:30:00
CI-6330,364986,Closed,aruizrobles,2022-01-24 12:14:00,01/Feb/22 12:00 AM,2022-02-23 11:01:00,Amadeus Pre Sales Demos,Service Request (SR),42548.0,579.0,2022-02-18 02:38:00
CI-6463,370433,Closed,ssanz,2022-02-17 14:35:00,22/Feb/22 12:00 AM,2022-02-23 16:10:00,Porsche,Service Request (SR),8380.000000000002,356.0,2022-02-23 10:14:00
CI-6255,362030,Closed,yutaka,2022-01-11 14:54:00,21/Jan/22 12:00 AM,2022-02-24 01:11:00,Rehau,Incident Request (IR),42023.0,20514.0,2022-02-03 09:29:00
CI-6343,365709,Closed,ssanz,2022-01-26 16:55:00,01/Feb/22 12:00 AM,2022-02-24 11:47:00,Allianz,Service Request (SR),41366.0,86.0,2022-02-24 10:22:00
CI-6451,370010,Closed,nsanchez,2022-02-16 11:03:00,23/Feb/22 12:00 AM,2022-02-24 15:49:00,Endress Hauser,Service Request (SR),7307.0,4499.0,2022-02-21 13:13:00
CI-6414,368774,Closed,nsanchez,2022-02-11 12:11:00,16/Feb/22 12:00 AM,2022-02-24 15:50:00,Endress Hauser,Service Request (SR),7032.0,11510.0,2022-02-16 16:00:00
CI-6386,368291,Closed,yutaka,2022-02-10 02:55:00,11/Feb/22 12:00 AM,2022-02-24 16:44:00,Grupo Red Electrica,Service Request (SR),12846.0,10680.0,2022-02-17 09:17:00
CI-6362,366817,Closed,yutaka,2022-02-02 02:53:00,09/Feb/22 12:00 AM,2022-02-24 16:45:00,Grupo Red Electrica,Service Request (SR),19388.0,13124.0,2022-02-16 11:58:00
CI-6361,366815,Closed,yutaka,2022-02-02 01:55:00,04/Feb/22 12:00 AM,2022-02-24 16:47:00,Red Electrica,Service Request (SR),21579.0,10993.0,2022-02-17 13:43:00
CI-6457,370179,Closed,aruizrobles,2022-02-16 17:21:00,23/Feb/22 12:00 AM,2022-02-25 09:13:00,Travelnet Reisevarehuset AS,Service Request (SR),10237.0,2235.0,2022-02-24 17:00:00
CI-6194,360510,Closed,nsanchez,2022-01-03 08:55:00,10/Jan/22 12:00 AM,2022-02-25 11:20:00,Allianz,Service Request (SR),14707.0,61758.0,2022-02-24 14:06:00
CI-6455,370166,Closed,ssanz,2022-02-16 16:46:00,21/Feb/22 12:00 AM,2022-02-25 13:02:00,Fiege,Service Request (SR),11443.0,3850.0,2022-02-24 14:25:00
CI-6384,368278,Closed,ngraf,2022-02-09 22:04:00,16/Feb/22 12:00 AM,2022-02-25 14:09:00,EnBW,Service Request (SR),22565.0,0.0,2022-02-25 14:09:00
CI-6448,369891,Closed,guinoo,2022-02-16 04:29:00,22/Feb/22 12:00 AM,2022-02-28 03:10:00,Rheinmetall,Service Request (SR),7726.0,9475.0,2022-02-21 13:15:00
CI-6287,363282,Closed,guinoo,2022-01-18 00:48:00,24/Jan/22 12:00 AM,2022-02-28 05:56:00,Porsche,Service Request (SR),33625.00000000001,25723.0,2022-02-10 09:13:00
CI-6274,362933,Closed,guinoo,2022-01-17 00:45:00,21/Jan/22 12:00 AM,2022-02-28 07:30:00,DERPART,Service Request (SR),22170.0,38715.0,2022-02-01 10:15:00
CI-6453,370087,Closed,nsanchez,2022-02-16 14:06:00,24/Feb/22 12:00 AM,2022-02-28 12:32:00,Eberspacher,Service Request (SR),17066.000000000004,120.0,2022-02-28 10:32:00
CI-6482,371266,Closed,ssanz,2022-02-22 15:49:00,02/Mar/22 12:00 AM,2022-02-28 12:51:00,Vaillant,Service Request (SR),8927.0,494.00000000000006,2022-02-28 04:37:00
CI-6497,372023,Closed,aklabisz,2022-02-25 12:26:00,28/Feb/22 12:00 AM,2022-02-28 14:59:00,Enercon,Service Request (SR),4473.0,0.0,2022-02-28 14:59:00
CI-6318,364000,Closed,ssanz,2022-01-20 15:07:00,28/Jan/22 12:00 AM,2022-03-01 00:54:00,Porsche,Service Request (SR),32034.000000000004,29899.0,2022-03-01 00:54:00
CI-6440,369421,Closed,guinoo,2022-02-15 04:30:00,21/Feb/22 12:00 AM,2022-03-01 03:10:00,Endress Hauser,Service Request (SR),20080.0,0.0,2022-03-01 03:10:00
CI-6493,371888,Closed,yutaka,2022-02-25 01:06:00,28/Feb/22 12:00 AM,2022-03-01 03:40:00,Porsche,Service Request (SR),1009.0000000000001,5358.0,2022-02-25 10:22:00
CI-6385,368285,Closed,yutaka,2022-02-10 01:08:00,11/Feb/22 12:00 AM,2022-03-01 03:44:00,Porsche,Service Request (SR),12539.0,21246.0,2022-02-14 09:38:00
CI-6358,366561,Closed,yutaka,2022-02-01 03:32:00,04/Feb/22 12:00 AM,2022-03-01 03:45:00,msg systems,Service Request (SR),15160.0,31351.000000000004,2022-02-07 09:14:00
CI-6506,372415,Closed,yutaka,2022-03-01 01:56:00,04/Mar/22 12:00 AM,2022-03-02 02:08:00,Red Electrica,Service Request (SR),114.0,1338.0,2022-03-01 03:50:00
CI-6276,362938,Closed,guinoo,2022-01-17 01:32:00,07/Feb/22 12:00 AM,2022-03-02 03:23:00,Ineos,Service Request (SR),36242.0,18488.0,2022-02-10 04:41:00
CI-6376,367518,Closed,yutaka,2022-02-07 03:38:00,11/Feb/22 12:00 AM,2022-03-02 04:25:00,Porsche,Service Request (SR),34907.00000000001,0.0,2022-03-02 04:25:00
CI-6336,365381,Closed,hilbich,2022-01-25 17:08:00,04/Feb/22 12:00 AM,2022-03-02 08:07:00,Expense Development,Service Request (SR),50553.0,746.0,2022-03-01 19:50:00
CI-6495,372017,Closed,aruizrobles,2022-02-25 12:25:00,04/Mar/22 12:00 AM,2022-03-02 09:00:00,Numiga,Service Request (SR),6466.0,529.0000000000001,2022-02-28 17:48:00
CI-6499,372052,Closed,aruizrobles,2022-02-25 13:51:00,04/Mar/22 12:00 AM,2022-03-02 09:34:00,Numiga,Service Request (SR),6385.0,558.0,2022-03-02 00:16:00
CI-6479,371140,Closed,nsanchez,2022-02-22 10:16:00,28/Feb/22 12:00 AM,2022-03-02 12:30:00,Endress Hauser,Incident Request (IR),2092.0000000000005,9562.0,2022-02-24 14:25:00
CI-6494,371930,Closed,nsanchez,2022-02-25 09:25:00,25/Feb/22 12:00 AM,2022-03-02 15:59:00,Amadeus,Incident Request (IR),7491.0,103.0,2022-03-02 14:16:00
