,index,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,ticket_age,Parent id,time_outside_codebusters,time_on_codebusters,time_in_review
41,42,CI-8469,464620,Closed,yutaka.yasumi,2023-04-13 08:22:00,20/Apr/23 12:00 AM,2023-05-17 13:15:00,Endress Hauser,Incident Request (IR),49253.0,464620,36037.0,13216.0,12402.0
42,43,CI-8458,464220,Closed,ssanz,2023-04-11 14:18:00,12/Apr/23 12:00 AM,2023-04-14 09:34:00,TUI AG,Incident Request (IR),4036.0,464220,116.0,3920.0,77.0
43,44,CI-8454,463949,Closed,nsanchezruiz,2023-04-10 12:30:00,17/Apr/23 12:00 AM,2023-05-08 13:44:00,CEPSA,Incident Request (IR),40394.0,463949,7302.0,33092.0,16020.0
44,45,CI-8452,463886,Closed,kgostynska,2023-04-07 15:59:00,11/Apr/23 12:00 AM,2023-04-12 15:17:00,Porsche,Incident Request (IR),7158.0,463886,1268.0,5890.0,5742.0
45,46,CI-8435,463434,Closed,yutaka.yasumi,2023-04-06 02:49:00,13/Apr/23 12:00 AM,2023-04-06 10:10:00,Init AG,Incident Request (IR),441.0,463434,81.0,360.0,360.0
46,47,CI-8425,462813,Closed,nsanchezruiz,2023-04-04 14:58:00,10/Apr/23 12:00 AM,2023-04-05 11:57:00,Amadeus,Incident Request (IR),1259.0,462813,7.0,1252.0,1252.0
47,48,CI-8424,462772,Closed,kgostynska,2023-04-04 13:25:00,11/Apr/23 12:00 AM,2023-04-05 13:23:00,Amadeus,Incident Request (IR),1438.0,462772,104.0,1334.0,1334.0
48,49,CI-8415,462306,Closed,nsanchezruiz,2023-04-03 08:40:00,04/Apr/23 12:00 AM,2023-04-06 16:20:00,Luther,Incident Request (IR),4780.0,462306,691.0,4089.0,2993.0
49,50,CI-8412,462267,Closed,yutaka.yasumi,2023-04-03 00:57:00,07/Apr/23 12:00 AM,2023-04-14 09:37:00,CMS Hasche Sigle,Incident Request (IR),16360.0,462267,4302.0,12058.0,3584.0
50,51,CI-8398,461872,Closed,ssanz,2023-03-30 16:52:00,10/Apr/23 12:00 AM,2023-05-18 12:20:00,Vaillant,Incident Request (IR),70288.0,461872,43762.0,26526.0,8313.0
51,52,CI-8360,459333,Closed,nsanchezruiz,2023-03-23 14:52:00,29/Mar/23 12:00 AM,2023-04-05 09:39:00,Customer not yet listed,Incident Request (IR),18407.0,459333,0.0,18407.0,18407.0
52,53,CI-8354,458717,Closed,nsanchezruiz,2023-03-22 11:13:00,27/Mar/23 12:00 AM,2023-04-25 09:58:00,OBB,Incident Request (IR),48885.0,458717,21479.0,27406.0,18630.0
53,54,CI-8321,456627,Closed,yutaka.yasumi,2023-03-16 11:21:00,20/Mar/23 12:00 AM,2023-03-29 16:29:00,Lufthansa City Center,Incident Request (IR),19028.0,456627,8685.0,10343.0,10343.0
54,55,CI-8318,456512,Closed,yutaka.yasumi,2023-03-16 01:31:00,20/Mar/23 12:00 AM,2023-04-19 14:53:00,Amadeus,Incident Request (IR),49762.0,456512,18864.0,30898.0,463.0
55,56,CI-8316,456446,Closed,ssanz,2023-03-15 16:46:00,22/Mar/23 12:00 AM,2023-04-14 12:32:00,Allianz,Incident Request (IR),42946.0,456446,14262.0,28684.0,27422.0
56,57,CI-8314,456336,Closed,nsanchezruiz,2023-03-15 12:34:00,16/Mar/23 12:00 AM,2023-03-22 11:16:00,OBB,Incident Request (IR),10002.0,456336,0.0,10002.0,10002.0
57,58,CI-8303,455701,Closed,kgostynska,2023-03-14 09:47:00,21/Mar/23 12:00 AM,2023-05-08 08:18:00,LKW Walter,Incident Request (IR),79111.0,455701,52638.0,26473.0,26268.0
58,59,CI-8291,454824,Closed,ssanz,2023-03-10 08:15:00,10/Mar/23 12:00 AM,2023-03-16 14:06:00,Allianz,Incident Request (IR),8991.0,454824,8372.0,619.0,129.0
59,60,CI-8289,454808,Closed,yutaka.yasumi,2023-03-10 07:21:00,13/Mar/23 12:00 AM,2023-04-03 01:18:00,Ineos,Incident Request (IR),34197.0,454808,28244.0,5953.0,5070.0
60,61,CI-8277,454229,Closed,ssanz,2023-03-08 15:09:00,15/Mar/23 12:00 AM,2023-04-18 14:15:00,TUI AG,Incident Request (IR),58986.0,454229,13071.0,45915.0,8602.0
61,62,CI-8273,453848,Closed,ssanz,2023-03-07 13:31:00,08/Mar/23 12:00 AM,2023-04-10 10:50:00,Allianz,Incident Request (IR),48799.0,453848,17391.0,31408.0,22.0
62,63,CI-8262,453141,Closed,yutaka.yasumi,2023-03-06 02:24:00,13/Mar/23 12:00 AM,2023-03-22 02:55:00,Endress Hauser,Incident Request (IR),23071.0,453141,7915.0,15156.0,10770.0
63,64,CI-8254,452951,Closed,ssanz,2023-03-03 13:15:00,10/Mar/23 12:00 AM,2023-05-05 19:12:00,Allianz,Incident Request (IR),91077.0,452951,1516.0,89561.0,14438.0
64,65,CI-8250,452787,Closed,yutaka.yasumi,2023-03-03 04:08:00,07/Mar/23 12:00 AM,2023-03-15 11:18:00,CMS Hasche Sigle,Incident Request (IR),17710.0,452787,184.0,17526.0,10782.0
65,66,CI-8219,450562,Closed,kgostynska,2023-02-22 13:28:00,01/Mar/23 12:00 AM,2023-07-11 12:37:00,Amadeus,Incident Request (IR),200109.0,450562,8446.0,164480.0,164182.0
66,67,CI-8192,449794,Closed,nsanchezruiz,2023-02-20 14:31:00,02/Mar/23 12:00 AM,2023-02-22 15:01:00,OBB,Incident Request (IR),2910.0,449794,0.0,2910.0,2591.0
67,68,CI-8168,448338,Closed,yutaka.yasumi,2023-02-15 02:30:00,20/Feb/23 12:00 AM,2023-03-06 11:13:00,Vaillant,Incident Request (IR),27883.0,448338,8539.0,19344.0,9381.0
68,69,CI-8167,448336,Closed,yutaka.yasumi,2023-02-15 02:08:00,24/Feb/23 12:00 AM,2023-03-08 01:31:00,Amadeus,Incident Request (IR),30203.0,448336,10066.0,20137.0,10508.0
69,70,CI-8162,448042,Closed,nsanchezruiz,2023-02-13 16:37:00,13/Feb/23 12:00 AM,2023-02-14 10:07:00,Porsche,Incident Request (IR),1050.0,448042,8.0,1042.0,1042.0
70,71,CI-8151,447784,Closed,yutaka.yasumi,2023-02-13 02:59:00,17/Feb/23 12:00 AM,2023-03-10 07:51:00,Vaillant,Incident Request (IR),36292.0,447784,25910.0,10382.0,6196.0
71,72,CI-8137,447073,Closed,nsanchezruiz,2023-02-08 13:39:00,14/Feb/23 12:00 AM,2023-03-07 09:12:00,Porsche,Incident Request (IR),38613.0,447073,8530.0,30083.0,7613.0
72,73,CI-8130,446901,Closed,yutaka.yasumi,2023-02-08 03:24:00,10/Feb/23 12:00 AM,2023-02-17 08:47:00,Endress Hauser,Incident Request (IR),13283.0,446901,7697.0,5586.0,3606.0
73,74,CI-8127,446771,Closed,nsanchezruiz,2023-02-07 14:38:00,14/Feb/23 12:00 AM,2023-02-27 09:56:00,msg systems,Incident Request (IR),28518.0,446771,10015.0,18503.0,13964.0
74,75,CI-8108,446348,Closed,nsanchezruiz,2023-02-06 11:19:00,09/Feb/23 12:00 AM,2023-02-13 08:47:00,Munckhof,Incident Request (IR),9928.0,446348,161.0,9778.0,5525.0
75,76,CI-8099,446053,Closed,nsanchezruiz,2023-02-03 08:59:00,06/Feb/23 12:00 AM,2023-03-07 13:27:00,Porsche,Incident Request (IR),46348.0,446053,19551.0,26797.0,5834.0
76,77,CI-8097,446005,Closed,yutaka.yasumi,2023-02-03 02:15:00,06/Feb/23 12:00 AM,2023-03-24 02:22:00,Continental,Incident Request (IR),70567.0,446005,25225.0,45342.0,41267.0
77,78,CI-8077,444452,Closed,yutaka.yasumi,2023-01-30 02:11:00,03/Feb/23 12:00 AM,2023-02-20 05:16:00,Heidelberg Cement,Incident Request (IR),30425.0,444452,25470.0,4955.0,4657.0
78,79,CI-8071,444032,Closed,yutaka.yasumi,2023-01-27 02:43:00,31/Jan/23 12:00 AM,2023-03-10 08:02:00,Vaillant,Incident Request (IR),60799.0,444032,29736.0,31063.0,27644.0
79,80,CI-8054,443576,Closed,tsteinhaeuser,2023-01-25 10:54:00,01/Feb/23 12:00 AM,2023-02-10 09:53:00,Expense Development,Incident Request (IR),22979.0,443576,1048.0,21931.0,20262.0
80,81,CI-8030,442598,Closed,nsanchezruiz,2023-01-19 13:03:00,20/Jan/23 12:00 AM,2023-02-22 08:37:00,MAN,Incident Request (IR),48694.0,442598,24732.0,18023.0,11217.0
81,82,CI-8008,441342,Closed,nsanchezruiz,2023-01-13 10:16:00,18/Jan/23 12:00 AM,2023-02-23 08:43:00,Egis,Incident Request (IR),58947.0,441342,40453.0,18494.0,4549.0
82,83,CI-8004,441284,Closed,yutaka.yasumi,2023-01-13 04:01:00,16/Jan/23 12:00 AM,2023-01-25 07:10:00,CEPSA,Incident Request (IR),17469.0,441284,9892.0,7577.0,7509.0
83,84,CI-7975,440055,Closed,nsanchezruiz,2023-01-09 16:39:00,10/Jan/23 12:00 AM,2023-01-10 08:56:00,Bentley,Incident Request (IR),977.0,440055,1.0,976.0,976.0
84,85,CI-7974,440053,Closed,nsanchezruiz,2023-01-09 16:28:00,10/Jan/23 12:00 AM,2023-01-11 08:51:00,Bentley,Incident Request (IR),2423.0,440053,1433.0,990.0,990.0
85,86,CI-7972,439958,Closed,nsanchezruiz,2023-01-09 12:42:00,12/Jan/23 12:00 AM,2023-01-26 09:58:00,DER,Incident Request (IR),24316.0,439958,157.0,16858.0,16858.0
86,87,CI-7970,439508,Closed,yutaka.yasumi,2023-01-06 04:38:00,13/Jan/23 12:00 AM,2023-02-10 07:13:00,Amadeus,Incident Request (IR),50555.0,439508,30459.0,20096.0,19019.0
87,88,CI-7966,439389,Closed,nsanchezruiz,2023-01-05 12:25:00,09/Jan/23 12:00 AM,2023-01-09 11:15:00,Damm,Incident Request (IR),5690.0,439389,3962.0,1728.0,1728.0
88,89,CI-7950,438853,Closed,nsanchezruiz,2023-01-03 15:50:00,04/Jan/23 12:00 AM,2023-02-09 13:09:00,Porsche,Incident Request (IR),53119.0,438853,30253.0,11556.0,11423.0
89,90,CI-7949,438746,Closed,nsanchezruiz,2023-01-03 10:53:00,10/Jan/23 12:00 AM,2023-01-20 09:41:00,Hugo Boss,Incident Request (IR),24408.0,438746,1447.0,22961.0,14625.0
90,91,CI-7940,438429,Closed,ssanz,2022-12-30 10:21:00,06/Jan/23 12:00 AM,2023-02-17 08:26:00,Heidelberg Cement,Incident Request (IR),70445.0,438429,52842.0,16545.0,14805.0
91,92,CI-7932,438228,Closed,nsanchezruiz,2022-12-27 14:47:00,03/Jan/23 12:00 AM,2022-12-27 14:52:00,ProcurX,Incident Request (IR),5.0,438228,0.0,5.0,5.0
92,93,CI-7930,438212,Closed,nsanchezruiz,2022-12-27 11:02:00,03/Jan/23 12:00 AM,2023-01-04 10:31:00,Endress Hauser,Incident Request (IR),11489.0,438212,1063.0,10426.0,10286.0
93,94,CI-7929,438078,Closed,nsanchezruiz,2022-12-23 10:06:00,03/Jan/23 12:00 AM,2022-12-27 10:49:00,Endress Hauser,Incident Request (IR),5803.0,438078,0.0,5803.0,5803.0
94,95,CI-7927,437936,Closed,ssanz,2022-12-22 15:16:00,29/Dec/22 12:00 AM,2023-01-17 16:00:00,Numiga,Incident Request (IR),37484.0,437936,13307.0,24177.0,15891.0
95,96,CI-7921,437843,Closed,yutaka.yasumi,2022-12-22 10:09:00,26/Dec/22 12:00 AM,2022-12-30 10:21:00,Lufthansa City Center,Incident Request (IR),11532.0,437843,2834.0,8698.0,8668.0
96,97,CI-7901,437144,Closed,ssanz,2022-12-19 17:10:00,26/Dec/22 12:00 AM,2023-01-12 14:01:00,Porsche,Incident Request (IR),34371.0,437144,12840.0,21531.0,21479.0
97,98,CI-7887,436609,Closed,nsanchezruiz,2022-12-16 14:40:00,21/Dec/22 12:00 AM,2023-01-02 08:59:00,Osram,Incident Request (IR),24139.0,436609,144.0,23995.0,6966.0
98,99,CI-7885,436508,Closed,nsanchezruiz,2022-12-16 13:35:00,22/Dec/22 12:00 AM,2022-12-21 13:51:00,OBB,Incident Request (IR),7216.0,436508,261.0,6955.0,5506.0
99,100,CI-7865,435564,Closed,nsanchezruiz,2022-12-14 11:30:00,20/Dec/22 12:00 AM,2022-12-21 09:17:00,Bentley,Incident Request (IR),9947.0,435564,30.0,9917.0,6977.0
100,101,CI-7861,435312,Closed,ssanz,2022-12-13 15:15:00,20/Dec/22 12:00 AM,2023-03-01 15:56:00,Audi,Incident Request (IR),112361.0,435312,81247.0,31114.0,8330.0
101,102,CI-7816,432641,Closed,yutaka.yasumi,2022-12-05 10:09:00,09/Dec/22 12:00 AM,2023-03-03 14:03:00,CEPSA,Incident Request (IR),126954.0,432641,4850.0,122104.0,15807.0
102,103,CI-7808,432567,Closed,yutaka.yasumi,2022-12-05 08:05:00,09/Dec/22 12:00 AM,2023-01-04 02:16:00,Amadeus,Incident Request (IR),42851.0,432567,22636.0,20215.0,14765.0
103,104,CI-7787,431734,Closed,ssanz,2022-11-30 16:24:00,06/Dec/22 12:00 AM,2023-02-10 09:35:00,Allianz,Incident Request (IR),103271.0,431734,76316.0,26955.0,26953.0
104,105,CI-7745,429871,Closed,yutaka.yasumi,2022-11-22 09:11:00,25/Nov/22 12:00 AM,2023-01-04 02:18:00,Continental,Incident Request (IR),61507.0,429871,40910.0,20597.0,13462.0
105,106,CI-7717,428927,Closed,ssanz,2022-11-17 17:51:00,24/Nov/22 12:00 AM,2023-01-02 10:02:00,Porsche,Incident Request (IR),65771.0,428927,25027.0,40744.0,38758.0
106,107,CI-7706,428491,Closed,ssanz,2022-11-16 11:36:00,23/Nov/22 12:00 AM,2023-02-17 08:25:00,Allianz,Incident Request (IR),133729.0,428491,34144.0,99585.0,0.0
107,108,CI-7674,427373,Closed,ssanz,2022-11-10 16:11:00,17/Nov/22 12:00 AM,2023-02-17 08:24:00,Allianz,Incident Request (IR),142093.0,427373,43911.0,98182.0,11251.0
108,109,CI-7604,423551,Closed,nsanchezruiz,2022-10-26 13:11:00,26/Oct/22 12:00 AM,2023-02-22 16:04:00,Rewe Group,Incident Request (IR),171533.0,423551,60.0,171473.0,70.0
109,110,CI-7597,423336,Closed,ssanz,2022-10-25 16:47:00,01/Nov/22 12:00 AM,2023-02-07 09:04:00,DER,Incident Request (IR),150737.0,423336,82783.0,67954.0,12579.0
110,111,CI-7375,411778,Closed,debert,2022-09-01 12:49:00,15/Sep/22 12:00 AM,2023-01-27 11:47:00,OBB,Incident Request (IR),213058.0,411778,105842.0,107216.0,7033.0
111,112,CI-7373,411758,Closed,debert,2022-09-01 12:11:00,15/Sep/22 12:00 AM,2023-02-13 06:41:00,OBB,Incident Request (IR),237270.0,411758,131911.0,105359.0,7071.0
