Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,time_in_review,time_on_codebusters,time_outside_codebusters
CI-8366,459522,Closed,nsanchez,2023-03-24 09:41:00,31/Mar/23 12:00 AM,2023-04-05 08:40:00,Customer not yet listed,Service Request (SR),459522.0,15994.000000000002,16218.000000000002,1001.0000000000001
CI-8365,459516,Closed,nsanchez,2023-03-24 09:30:00,31/Mar/23 12:00 AM,2023-04-05 08:41:00,Customer not yet listed,Service Request (SR),459516.0,16005.000000000002,16229.000000000002,1002.0000000000001
CI-8364,459501,Closed,nsanchez,2023-03-24 08:41:00,31/Mar/23 12:00 AM,2023-04-04 09:24:00,Customer not yet listed,Service Request (SR),459501.0,10479.0,10841.0,5042.0
CI-8359,459293,Closed,ssanz,2023-03-23 13:59:00,30/Mar/23 12:00 AM,2023-04-01 16:22:00,Allianz,Service Request (SR),459293.0,8777.0,8830.0,4273.000000000001
CI-8349,458448,Closed,yutaka,2023-03-22 02:59:00,22/Mar/23 12:00 AM,2023-04-03 00:41:00,Endress Hauser,Service Request (SR),458448.0,0.0,18.0,17124.000000000004
CI-8346,458273,Closed,skarja,2023-03-21 13:50:00,28/Mar/23 12:00 AM,2023-04-07 02:04:00,Porsche,Service Request (SR),458273.0,14534.0,21325.0,2449.0
CI-8345,458258,Closed,nsanchez,2023-03-21 13:28:00,27/Mar/23 12:00 AM,2023-04-04 13:10:00,Audi,Service Request (SR),458258.0,14426.0,16025.000000000002,4117.000000000001
CI-8344,458212,Closed,nsanchez,2023-03-21 12:57:00,23/Mar/23 12:00 AM,2023-04-03 10:29:00,Allianz,Service Request (SR),458212.0,10136.0,17026.000000000004,1546.0
CI-8325,456733,Closed,mmaciejczyk,2023-03-16 13:20:00,23/Mar/23 12:00 AM,2023-03-16 15:42:00,CMS Hasche Sigle,Service Request (SR),456733.0,139.0,139.0,3.0
CI-8322,456676,Closed,yutaka,2023-03-16 11:59:00,23/Mar/23 12:00 AM,2023-04-03 00:42:00,Hugo Boss,Service Request (SR),456676.0,9.0,7942.000000000001,17301.000000000004
CI-8317,456508,Closed,yutaka,2023-03-15 23:46:00,22/Mar/23 12:00 AM,2023-03-22 00:25:00,CEPSA,Service Request (SR),456508.0,0.0,821.0,7858.000000000001
CI-8315,456393,Closed,bonnavion,2023-03-15 15:03:00,22/Mar/23 12:00 AM,2023-04-13 14:22:00,DERPART,Service Request (SR),456393.0,21685.0,37612.0,4107.000000000001
CI-8312,456181,Closed,aruizrobles,2023-03-15 09:51:00,22/Mar/23 12:00 AM,2023-03-29 15:51:00,Numiga,Service Request (SR),456181.0,1775.0,16625.000000000004,3917.0000000000005
CI-8309,456072,Closed,yutaka,2023-03-15 02:50:00,29/Mar/23 12:00 AM,2023-03-15 08:51:00,Porsche,Service Request (SR),456072.0,0.0,23.0,338.0
CI-8308,456070,Closed,yutaka,2023-03-15 01:40:00,22/Mar/23 12:00 AM,2023-03-16 14:04:00,Rewe Group,Service Request (SR),456070.0,489.00000000000006,1354.0,830.0
CI-8305,455867,Closed,nsanchez,2023-03-14 13:14:00,16/Mar/23 12:00 AM,2023-03-21 11:18:00,Amadeus,Service Request (SR),455867.0,7.0,9784.0,180.0
CI-8301,455603,Closed,yutaka,2023-03-14 01:29:00,17/Mar/23 12:00 AM,2023-03-15 00:20:00,dm-drogerie markt,Service Request (SR),455603.0,11.0,11.0,1360.0
CI-8272,453603,Closed,yutaka,2023-03-07 02:13:00,21/Mar/23 12:00 AM,2023-03-16 07:38:00,Spiegel,Service Request (SR),453603.0,247.00000000000003,1882.0,0.0
CI-8263,453231,Closed,nsanchez,2023-03-06 09:39:00,07/Mar/23 12:00 AM,2023-03-10 13:31:00,Amadeus,Service Request (SR),453231.0,1506.0,1639.0,2672.0
CI-8260,453010,Closed,aruizrobles,2023-03-03 17:56:00,10/Mar/23 12:00 AM,2023-03-21 10:14:00,Numiga,Service Request (SR),453010.0,9443.0,20678.0,388.0
CI-8259,453008,Closed,aruizrobles,2023-03-03 17:46:00,10/Mar/23 12:00 AM,2023-03-13 09:49:00,Numiga,Service Request (SR),453008.0,9453.0,9467.0,28.0
CI-8257,452981,Closed,nsanchez,2023-03-03 15:02:00,13/Mar/23 12:00 AM,2023-03-21 10:02:00,Munckhof,Service Request (SR),452981.0,71.0,10010.0,1220.0
CI-8255,452973,Closed,yutaka,2023-03-03 14:38:00,22/Nov/22 12:00 AM,2023-03-03 14:39:00,Hugo Boss,Service Request (SR),452973.0,1.0000000000000002,1.0000000000000002,0.0
CI-8251,452791,Closed,yutaka,2023-03-03 05:27:00,10/Mar/23 12:00 AM,2023-03-22 15:07:00,Endress Hauser,Service Request (SR),452791.0,0.0,4142.000000000001,0.0
CI-8249,452780,Closed,yutaka,2023-03-03 02:44:00,17/Mar/23 12:00 AM,2023-04-05 09:30:00,CEPSA,Service Request (SR),452780.0,6341.0,22796.0,8824.0
CI-8248,452777,Closed,yutaka,2023-03-03 02:33:00,17/Mar/23 12:00 AM,2023-03-15 10:13:00,Eberspacher,Service Request (SR),452777.0,1.0000000000000002,1.0000000000000002,1782.0
CI-8245,452623,Closed,nsanchez,2023-03-02 11:17:00,13/Mar/23 12:00 AM,2023-03-14 16:26:00,Amadeus,Service Request (SR),452623.0,1315.0,6826.0,4823.0
CI-8244,452543,Closed,ssanz,2023-03-02 09:48:00,09/Mar/23 12:00 AM,2023-03-15 14:24:00,Allianz,Service Request (SR),452543.0,10250.0,10592.0,0.0
CI-8242,452464,Closed,yutaka,2023-03-02 01:04:00,09/Mar/23 12:00 AM,2023-04-06 16:26:00,Burda,Service Request (SR),452464.0,7820.000000000001,19976.0,25863.0
CI-8237,451967,Closed,nsanchez,2023-02-28 11:30:00,08/Mar/23 12:00 AM,2023-03-13 14:13:00,Porsche,Service Request (SR),451967.0,10001.0,13245.0,991.0000000000001
CI-8236,451837,Closed,yutaka,2023-02-28 00:45:00,07/Mar/23 12:00 AM,2023-04-13 16:29:00,Hugo Boss,Service Request (SR),451837.0,12026.0,14446.0,10254.0
CI-8236,451837,Closed,yutaka,2023-02-28 00:45:00,07/Mar/23 12:00 AM,2023-04-13 16:29:00,Hugo Boss,Service Request (SR),451837.0,670.0,14446.0,10254.0
CI-8231,451099,Closed,nsanchez,2023-02-24 08:55:00,02/Mar/23 12:00 AM,2023-03-10 10:29:00,Hugo Boss,Service Request (SR),451099.0,16233.000000000002,16726.000000000004,2032.0000000000002
CI-8228,450993,Closed,nsanchez,2023-02-23 16:12:00,06/Mar/23 12:00 AM,2023-02-27 13:09:00,Wacker,Service Request (SR),450993.0,1308.0,1617.0,3960.0000000000005
CI-8226,450975,Closed,aruizrobles,2023-02-23 15:50:00,02/Mar/23 12:00 AM,2023-02-27 16:42:00,Numiga,Service Request (SR),450975.0,1375.0,1652.0,4160.000000000001
CI-8225,450885,Closed,ssanz,2023-02-23 13:56:00,02/Mar/23 12:00 AM,2023-03-23 16:34:00,Rehau,Service Request (SR),450885.0,1396.0,5900.0,19058.0
CI-8224,450881,Closed,nsanchez,2023-02-23 13:52:00,28/Feb/23 12:00 AM,2023-02-27 12:58:00,Endress Hauser,Service Request (SR),450881.0,5696.0,5696.0,10.0
CI-8220,450591,Closed,achattopadhyay,2023-02-22 14:58:00,28/Feb/23 12:00 AM,2023-02-27 14:00:00,Endress Hauser,Service Request (SR),450591.0,0.0,6856.0,286.0
CI-8220,450591,Closed,achattopadhyay,2023-02-22 14:58:00,28/Feb/23 12:00 AM,2023-02-27 14:00:00,Endress Hauser,Service Request (SR),450591.0,6856.0,6856.0,286.0
CI-8218,450520,Closed,mmaciejczyk,2023-02-22 12:23:00,01/Mar/23 12:00 AM,2023-03-16 12:26:00,Porsche,Service Request (SR),450520.0,17307.000000000004,19694.0,3015.0
CI-8217,450516,Closed,nsanchez,2023-02-22 12:11:00,01/Mar/23 12:00 AM,2023-02-27 11:38:00,Amadeus,Service Request (SR),450516.0,1454.0,6047.0,1120.0
CI-8215,450484,Closed,ssanz,2023-02-22 11:37:00,01/Mar/23 12:00 AM,2023-02-22 17:56:00,TUI AG,Service Request (SR),450484.0,91.0,230.0,149.0
CI-8214,450395,Closed,yutaka,2023-02-22 08:28:00,01/Mar/23 12:00 AM,2023-02-22 12:26:00,Daimler (MFTBC),Service Request (SR),450395.0,1.0000000000000002,231.0,7.0
CI-8210,450191,Closed,mmaciejczyk,2023-02-21 14:50:00,28/Feb/23 12:00 AM,2023-03-09 17:37:00,CEPSA,Service Request (SR),450191.0,23.0,22814.0,384.0
CI-8210,450191,Closed,mmaciejczyk,2023-02-21 14:50:00,28/Feb/23 12:00 AM,2023-03-09 17:37:00,CEPSA,Service Request (SR),450191.0,18875.0,22814.0,384.0
CI-8209,450104,Closed,kgostynska,2023-02-21 11:57:00,28/Feb/23 12:00 AM,2023-03-16 15:57:00,CEPSA,Service Request (SR),450104.0,19072.0,21649.0,504.00000000000006
CI-8209,450104,Closed,kgostynska,2023-02-21 11:57:00,28/Feb/23 12:00 AM,2023-03-16 15:57:00,CEPSA,Service Request (SR),450104.0,1213.0,21649.0,504.00000000000006
CI-8190,449259,Closed,skarja,2023-02-17 14:48:00,24/Feb/23 12:00 AM,2023-04-05 12:08:00,Eberspacher,Service Request (SR),449259.0,17101.000000000004,22689.0,25040.0
CI-8190,449259,Closed,skarja,2023-02-17 14:48:00,24/Feb/23 12:00 AM,2023-04-05 12:08:00,Eberspacher,Service Request (SR),449259.0,2760.0,22689.0,25040.0
CI-8187,449164,Closed,nsanchez,2023-02-17 13:00:00,28/Feb/23 12:00 AM,2023-02-23 15:29:00,apoBank,Service Request (SR),449164.0,8775.0,8775.0,14.0
CI-8185,449035,Closed,yutaka,2023-02-17 09:59:00,20/Feb/23 12:00 AM,2023-04-04 15:22:00,Munckhof,Service Request (SR),449035.0,5423.0,5424.0,0.0
CI-8184,448971,Closed,yutaka,2023-02-17 01:56:00,24/Feb/23 12:00 AM,2023-04-04 16:33:00,Hugo Boss,Service Request (SR),448971.0,1.0000000000000002,6229.0,8510.000000000002
CI-8184,448971,Closed,yutaka,2023-02-17 01:56:00,24/Feb/23 12:00 AM,2023-04-04 16:33:00,Hugo Boss,Service Request (SR),448971.0,1.0000000000000002,6229.0,8510.000000000002
CI-8183,448966,Closed,yutaka,2023-02-17 00:10:00,24/Feb/23 12:00 AM,2023-02-27 14:48:00,Wacker,Service Request (SR),448966.0,0.0,7219.0,8059.000000000001
CI-8181,448929,Closed,nsanchez,2023-02-16 16:22:00,28/Feb/23 12:00 AM,2023-02-24 15:13:00,Endress Hauser,Service Request (SR),448929.0,10062.0,11410.0,41.0
CI-8179,448809,Closed,aruizrobles,2023-02-16 10:46:00,23/Feb/23 12:00 AM,2023-03-02 09:31:00,ProcurX,Service Request (SR),448809.0,7231.0,19858.0,227.0
CI-8178,448801,Closed,aruizrobles,2023-02-16 10:22:00,20/Feb/23 12:00 AM,2023-02-16 18:10:00,Numiga,Service Request (SR),448801.0,468.0,468.0,0.0
CI-8176,448625,Closed,ssanz,2023-02-15 15:47:00,22/Feb/23 12:00 AM,2023-04-14 13:31:00,Allianz,Service Request (SR),448625.0,10063.0,13983.0,12941.0
CI-8166,448333,Closed,yutaka,2023-02-15 01:22:00,22/Feb/23 12:00 AM,2023-03-06 23:41:00,Porsche,Service Request (SR),448333.0,12374.0,19465.0,9234.0
CI-8163,448077,Closed,yutaka,2023-02-14 01:54:00,21/Feb/23 12:00 AM,2023-03-17 00:51:00,Continental,Service Request (SR),448077.0,76.0,26080.0,5966.0
CI-8163,448077,Closed,yutaka,2023-02-14 01:54:00,21/Feb/23 12:00 AM,2023-03-17 00:51:00,Continental,Service Request (SR),448077.0,2293.0,26080.0,5966.0
CI-8163,448077,Closed,yutaka,2023-02-14 01:54:00,21/Feb/23 12:00 AM,2023-03-17 00:51:00,Continental,Service Request (SR),448077.0,19053.0,26080.0,5966.0
CI-8158,447936,Closed,yutaka,2023-02-13 12:17:00,17/Feb/23 12:00 AM,2023-03-10 07:43:00,Continental,Service Request (SR),447936.0,9.0,25595.0,10131.0
CI-8158,447936,Closed,yutaka,2023-02-13 12:17:00,17/Feb/23 12:00 AM,2023-03-10 07:43:00,Continental,Service Request (SR),447936.0,11661.0,25595.0,10131.0
CI-8150,447782,Closed,yutaka,2023-02-13 01:17:00,17/Feb/23 12:00 AM,2023-02-28 01:37:00,Grupo Red Electrica,Service Request (SR),447782.0,12367.0,20320.0,1300.0
CI-8147,447585,Closed,nsanchez,2023-02-10 09:21:00,15/Feb/23 12:00 AM,2023-02-15 11:06:00,OBB,Service Request (SR),447585.0,4328.000000000001,4836.0,2469.0
CI-8140,447205,Closed,yutaka,2023-02-09 00:24:00,16/Feb/23 12:00 AM,2023-02-27 10:46:00,Burda,Service Request (SR),447205.0,616.0,616.0,25926.0
CI-8139,447117,Closed,nsanchez,2023-02-08 15:00:00,17/Feb/23 12:00 AM,2023-03-01 10:38:00,Allianz,Service Request (SR),447117.0,1336.0,15950.000000000002,7092.0
CI-8138,447085,Closed,aruizrobles,2023-02-08 13:54:00,15/Feb/23 12:00 AM,2023-02-22 09:22:00,Numiga,Service Request (SR),447085.0,11299.0,18120.0,1768.0
CI-8136,447059,Closed,aruizrobles,2023-02-08 13:08:00,15/Feb/23 12:00 AM,2023-02-17 10:53:00,Numiga,Service Request (SR),447059.0,11254.0,12431.0,394.0
CI-8132,446917,Closed,yutaka,2023-02-08 07:39:00,15/Feb/23 12:00 AM,2023-03-22 00:36:00,Endress Hauser,Service Request (SR),446917.0,266.00000000000006,29095.0,21399.0
CI-8132,446917,Closed,yutaka,2023-02-08 07:39:00,15/Feb/23 12:00 AM,2023-03-22 00:36:00,Endress Hauser,Service Request (SR),446917.0,13037.0,29095.0,21399.0
CI-8132,446917,Closed,yutaka,2023-02-08 07:39:00,15/Feb/23 12:00 AM,2023-03-22 00:36:00,Endress Hauser,Service Request (SR),446917.0,387.0,29095.0,21399.0
CI-8129,446899,Closed,yutaka,2023-02-08 03:09:00,15/Feb/23 12:00 AM,2023-02-09 16:57:00,Endress Hauser,Service Request (SR),446899.0,206.0,632.0,1636.0
CI-8128,446894,Closed,yutaka,2023-02-08 02:02:00,15/Feb/23 12:00 AM,2023-02-27 10:46:00,VW,Service Request (SR),446894.0,0.0,701.0,27183.0
CI-8126,446764,Closed,yutaka,2023-02-07 14:08:00,14/Feb/23 12:00 AM,2023-02-27 00:19:00,Porsche,Service Request (SR),446764.0,20021.0,20592.0,7379.0
CI-8119,446522,Closed,yutaka,2023-02-07 03:23:00,14/Feb/23 12:00 AM,2023-02-08 08:55:00,Endress Hauser,Service Request (SR),446522.0,0.0,614.0,1158.0
CI-8107,446322,Closed,achattopadhyay,2023-02-06 10:29:00,09/Feb/23 12:00 AM,2023-02-16 15:46:00,Endress Hauser,Service Request (SR),446322.0,4328.000000000001,14659.0,58.0
CI-8105,446288,Closed,yutaka,2023-02-06 08:43:00,13/Feb/23 12:00 AM,2023-03-10 08:00:00,Daimler (MFTBC),Service Request (SR),446288.0,109.0,13223.0,32814.00000000001
CI-8105,446288,Closed,yutaka,2023-02-06 08:43:00,13/Feb/23 12:00 AM,2023-03-10 08:00:00,Daimler (MFTBC),Service Request (SR),446288.0,10152.0,13223.0,32814.00000000001
CI-8104,446263,Closed,yutaka,2023-02-06 04:47:00,10/Feb/23 12:00 AM,2023-02-07 13:20:00,Porsche,Service Request (SR),446263.0,0.0,29.0,1924.0
CI-8102,446156,Closed,aruizrobles,2023-02-03 14:28:00,10/Feb/23 12:00 AM,2023-02-09 10:45:00,Numiga,Service Request (SR),446156.0,6852.0,7844.000000000001,573.0
CI-8098,446049,Closed,yutaka,2023-02-03 08:46:00,10/Feb/23 12:00 AM,2023-02-27 10:51:00,Continental,Service Request (SR),446049.0,9110.0,22152.0,12533.0
CI-8085,445018,Closed,yutaka,2023-01-31 01:48:00,07/Feb/23 12:00 AM,2023-03-03 03:28:00,Porsche,Service Request (SR),445018.0,20681.0,20681.0,24059.0
CI-8084,445012,Closed,yutaka,2023-01-31 01:18:00,07/Feb/23 12:00 AM,2023-01-31 14:16:00,Eberspacher,Service Request (SR),445012.0,3.0,516.0000000000001,262.00000000000006
CI-8083,444863,Closed,yutaka,2023-01-30 16:24:00,07/Feb/23 12:00 AM,2023-03-10 08:01:00,Amadeus,Service Request (SR),444863.0,11291.0,22956.0,32700.000000000004
CI-8082,444818,Closed,nsanchez,2023-01-30 15:20:00,03/Feb/23 12:00 AM,2023-02-23 12:25:00,Allianz,Service Request (SR),444818.0,11352.0,31158.000000000004,3227.0
CI-8081,444805,Closed,yutaka,2023-01-30 15:06:00,06/Feb/23 12:00 AM,2023-03-03 03:29:00,Amadeus,Service Request (SR),444805.0,11401.0,21409.0,23974.0
CI-8080,444792,Closed,yutaka,2023-01-30 14:45:00,07/Feb/23 12:00 AM,2023-02-16 08:25:00,Endress Hauser,Service Request (SR),444792.0,11328.0,19894.0,4206.000000000001
CI-8063,443892,Closed,ccasper,2023-01-26 14:34:00,01/Feb/23 12:00 AM,2023-02-01 09:42:00,Egis,Service Request (SR),443892.0,8299.000000000002,8317.000000000002,31.000000000000004
CI-8057,443742,Closed,yutaka,2023-01-26 07:23:00,31/Jan/23 12:00 AM,2023-01-30 02:07:00,Heidelberg Cement,Service Request (SR),443742.0,12.0,1114.0,4330.000000000001
CI-8055,443734,Closed,yutaka,2023-01-26 03:10:00,31/Jan/23 12:00 AM,2023-03-14 02:18:00,Eberspacher,Service Request (SR),443734.0,10489.0,58858.0,989.0000000000001
CI-8053,443534,Closed,ccasper,2023-01-25 09:38:00,26/Jan/23 12:00 AM,2023-01-26 13:46:00,Egis,Service Request (SR),443534.0,1619.0,1620.0,68.00000000000001
CI-8052,443529,Closed,yutaka,2023-01-25 09:22:00,31/Jan/23 12:00 AM,2023-03-17 00:58:00,Porsche,Service Request (SR),443529.0,11903.0,38364.0,11069.0
CI-8052,443529,Closed,yutaka,2023-01-25 09:22:00,31/Jan/23 12:00 AM,2023-03-17 00:58:00,Porsche,Service Request (SR),443529.0,8692.000000000002,38364.0,11069.0
CI-8051,443518,Closed,yutaka,2023-01-25 08:52:00,27/Jan/23 12:00 AM,2023-02-10 07:11:00,Daimler (MFTBC),Service Request (SR),443518.0,45.0,443.0,22496.0
CI-8050,443498,Closed,yutaka,2023-01-25 07:06:00,31/Jan/23 12:00 AM,2023-01-26 07:24:00,Heidelberg Cement,Service Request (SR),443498.0,1.0000000000000002,1457.0,1.0000000000000002
CI-8048,443357,Closed,nsanchez,2023-01-24 13:34:00,06/Feb/23 12:00 AM,2023-04-03 15:44:00,msg systems,Service Request (SR),443357.0,62100.0,92351.0,1205.0
CI-8047,443341,Closed,aruizrobles,2023-01-24 12:33:00,31/Jan/23 12:00 AM,2023-02-09 17:16:00,Numiga,Service Request (SR),443341.0,22830.0,23106.0,217.0
CI-8046,443331,Closed,nsanchez,2023-01-24 12:24:00,31/Jan/23 12:00 AM,2023-03-14 16:18:00,Porsche,Service Request (SR),443331.0,20127.0,21835.0,10.0
CI-8044,443290,Closed,mueller,2023-01-24 10:27:00,31/Jan/23 12:00 AM,2023-01-24 13:55:00,Porsche,Service Request (SR),443290.0,36.0,106.0,102.0
CI-8041,443211,Closed,yutaka,2023-01-24 05:46:00,31/Jan/23 12:00 AM,2023-03-10 08:05:00,Rewe Group,Service Request (SR),443211.0,13502.0,27358.0,37581.0
CI-8040,443165,Closed,ccasper,2023-01-23 16:42:00,31/Jan/23 12:00 AM,2023-02-03 11:44:00,Allianz,Service Request (SR),443165.0,4331.000000000001,8559.000000000002,6983.0
CI-8040,443165,Closed,ccasper,2023-01-23 16:42:00,31/Jan/23 12:00 AM,2023-02-03 11:44:00,Allianz,Service Request (SR),443165.0,4083.0000000000005,8559.000000000002,6983.0
CI-8039,443101,Closed,aruizrobles,2023-01-23 13:30:00,31/Jan/23 12:00 AM,2023-01-31 17:57:00,Numiga,Service Request (SR),443101.0,4017.0000000000005,11218.0,569.0
CI-8038,443091,Closed,aruizrobles,2023-01-23 12:38:00,27/Jan/23 12:00 AM,2023-01-26 10:28:00,Numiga,Service Request (SR),443091.0,1331.0,4065.0000000000005,125.00000000000001
CI-8033,442712,Closed,nsanchez,2023-01-19 16:18:00,30/Jan/23 12:00 AM,2023-01-31 14:37:00,ArcelorMittal,Service Request (SR),442712.0,5913.0,15986.000000000002,1193.0
CI-8033,442712,Closed,nsanchez,2023-01-19 16:18:00,30/Jan/23 12:00 AM,2023-01-31 14:37:00,ArcelorMittal,Service Request (SR),442712.0,7276.0,15986.000000000002,1193.0
CI-8023,441964,Closed,aruizrobles,2023-01-17 10:11:00,27/Jan/23 12:00 AM,2023-01-31 12:41:00,ProcurX,Service Request (SR),441964.0,8481.000000000002,16413.000000000004,3897.0000000000005
CI-8022,441937,Closed,aruizrobles,2023-01-17 09:19:00,24/Jan/23 12:00 AM,2023-01-19 17:40:00,Numiga,Service Request (SR),441937.0,3112.0,3341.0,40.0
CI-8021,441934,Closed,aruizrobles,2023-01-17 09:12:00,24/Jan/23 12:00 AM,2023-01-19 17:42:00,Numiga,Service Request (SR),441934.0,1563.0,3348.0,42.0
CI-8015,441601,Closed,yutaka,2023-01-16 02:20:00,23/Jan/23 12:00 AM,2023-02-08 02:50:00,Grupo Red Electrica,Service Request (SR),441601.0,5189.0,6763.0,26387.0
CI-8011,441392,Closed,yutaka,2023-01-13 11:49:00,18/Jan/23 12:00 AM,2023-01-30 02:44:00,Munckhof,Service Request (SR),441392.0,5889.0,6647.0,17288.000000000004
CI-8010,441353,Closed,aruizrobles,2023-01-13 10:38:00,20/Jan/23 12:00 AM,2023-01-20 11:17:00,Numiga,Service Request (SR),441353.0,7236.0,9950.0,169.0
CI-8009,441346,Closed,aruizrobles,2023-01-13 10:32:00,20/Jan/23 12:00 AM,2023-01-23 09:09:00,Numiga,Service Request (SR),441346.0,8800.0,14208.0,109.0
CI-8007,441339,Closed,aruizrobles,2023-01-13 10:14:00,20/Jan/23 12:00 AM,2023-01-20 09:09:00,Numiga,Service Request (SR),441339.0,8818.0,9961.0,54.0
CI-8006,441299,Closed,yutaka,2023-01-13 07:58:00,17/Jan/23 12:00 AM,2023-04-04 16:32:00,Porsche,Service Request (SR),441299.0,1202.0,100209.0,70.0
CI-8006,441299,Closed,yutaka,2023-01-13 07:58:00,17/Jan/23 12:00 AM,2023-04-04 16:32:00,Porsche,Service Request (SR),441299.0,66673.00000000001,100209.0,70.0
CI-8003,441150,Closed,yutaka,2023-01-12 12:20:00,19/Jan/23 12:00 AM,2023-02-02 02:00:00,apoBank,Service Request (SR),441150.0,8893.0,12942.0,16678.000000000004
CI-8002,441123,Closed,yutaka,2023-01-12 11:35:00,19/Jan/23 12:00 AM,2023-02-10 07:12:00,Amadeus,Service Request (SR),441123.0,228.0,10645.0,30852.0
CI-8002,441123,Closed,yutaka,2023-01-12 11:35:00,19/Jan/23 12:00 AM,2023-02-10 07:12:00,Amadeus,Service Request (SR),441123.0,531.0000000000001,10645.0,30852.0
CI-8002,441123,Closed,yutaka,2023-01-12 11:35:00,19/Jan/23 12:00 AM,2023-02-10 07:12:00,Amadeus,Service Request (SR),441123.0,7449.0,10645.0,30852.0
CI-8000,441080,Closed,aruizrobles,2023-01-12 10:46:00,18/Jan/23 12:00 AM,2023-01-17 12:09:00,Numiga,Service Request (SR),441080.0,309.0,7183.0,100.0
CI-7997,441058,Closed,aruizrobles,2023-01-12 10:21:00,18/Jan/23 12:00 AM,2023-01-20 10:56:00,Numiga,Service Request (SR),441058.0,8693.000000000002,11398.0,157.0
CI-7996,440995,Closed,yutaka,2023-01-12 05:39:00,19/Jan/23 12:00 AM,2023-01-30 02:42:00,Apleona,Service Request (SR),440995.0,0.0,332.0,25411.0
CI-7995,440986,Closed,yutaka,2023-01-12 05:20:00,12/Jan/23 12:00 AM,2023-01-16 08:49:00,Porsche,Service Request (SR),440986.0,1.0000000000000002,350.0,5619.0
CI-7994,440981,Closed,yutaka,2023-01-12 05:04:00,19/Jan/23 12:00 AM,2023-02-08 02:51:00,Grupo Red Electrica,Service Request (SR),440981.0,8905.0,29099.0,9648.0
CI-7993,440978,Closed,yutaka,2023-01-12 04:48:00,19/Jan/23 12:00 AM,2023-02-06 01:51:00,Amadeus,Service Request (SR),440978.0,7856.000000000001,8602.000000000002,27221.0
CI-7992,440973,Closed,yutaka,2023-01-12 02:15:00,19/Jan/23 12:00 AM,2023-01-20 01:32:00,Aquila Capital,Service Request (SR),440973.0,11477.0,11477.0,0.0
