,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,source,Iteration
12,CI-8918,485165,Verify,mmaciejczyk,03/Jul/23 1:11 PM,10/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
13,CI-8912,484852,Communicate,mmaciejczyk,30/Jun/23 1:57 PM,07/Jul/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
14,CI-8911,484730,Closed,ssanz,30/Jun/23 10:12 AM,07/Jul/23 12:00 AM,14/Jul/23 11:11 AM,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
15,CI-8910,484664,Configure,askarja,29/Jun/23 9:05 PM,27/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
16,CI-8909,484660,Configure,askarja,29/Jun/23 8:46 PM,07/Jul/23 12:00 AM,,Bentley,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
17,CI-8899,484449,Closed,askarja,29/Jun/23 11:37 AM,06/Jul/23 12:00 AM,12/Jul/23 12:53 AM,CMS Hasche Sigle,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
18,CI-8893,484357,Closed,yutaka.yasumi,29/Jun/23 1:58 AM,30/Jun/23 12:00 AM,11/Jul/23 7:29 AM,MFTBC,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
19,CI-8892,484345,Closed,mmaciejczyk,28/Jun/23 5:46 PM,07/Jul/23 12:00 AM,13/Jul/23 10:39 AM,Endress Hauser,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
20,CI-8883,484083,Import in Production,yutaka.yasumi,28/Jun/23 5:20 AM,05/Jul/23 12:00 AM,,Burda,Incident Request (IR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
21,CI-8876,483789,Import in Production,askarja,26/Jun/23 11:46 PM,03/Jul/23 12:00 AM,,Heidelberg Cement,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
22,CI-8874,483783,Review,askarja,26/Jun/23 8:21 PM,03/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
23,CI-8866,483461,Closed,yutaka.yasumi,26/Jun/23 2:15 AM,28/Jun/23 12:00 AM,12/Jul/23 4:52 AM,TotalEnergies,Incident Request (IR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
24,CI-8846,483197,Configure,kgostynska,23/Jun/23 8:51 AM,10/Jul/23 12:00 AM,,LKW Walter,Incident Request (IR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
25,CI-8842,482934,Closed,yutaka.yasumi,22/Jun/23 11:21 AM,23/Jun/23 12:00 AM,12/Jul/23 4:52 AM,Numiga,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
26,CI-8840,482850,Closed,yutaka.yasumi,22/Jun/23 9:36 AM,29/Jun/23 12:00 AM,15/Jul/23 3:05 AM,Vaillant,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
27,CI-8814,481732,Closed,nsanchezruiz,19/Jun/23 10:57 AM,26/Jun/23 12:00 AM,21/Jul/23 11:57 AM,OBB,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
28,CI-8813,481583,Closed,nsanchezruiz,19/Jun/23 9:25 AM,23/Jun/23 12:00 AM,10/Jul/23 12:15 PM,Hugo Boss,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
29,CI-8810,481221,Closed,alejandro.ruizrobles,16/Jun/23 2:33 PM,26/Jun/23 12:00 AM,11/Jul/23 2:02 PM,Numiga,SR - Partner,DataSets\in_progress_PI23.3-1.csv,PI23.3-1
30,CI-8808,480770,Closed,askarja,15/Jun/23 7:52 PM,22/Jun/23 12:00 AM,25/Jul/23 5:01 PM,VW,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
31,CI-8806,480285,Closed,askarja,14/Jun/23 6:07 PM,21/Jun/23 12:00 AM,12/Jul/23 12:53 AM,Hugo Boss,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
32,CI-8805,480283,Closed,askarja,14/Jun/23 5:40 PM,21/Jun/23 12:00 AM,12/Jul/23 10:19 PM,Hugo Boss,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
33,CI-8804,480256,Closed,ssanz,14/Jun/23 4:15 PM,21/Jun/23 12:00 AM,10/Jul/23 3:59 PM,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
34,CI-8801,480040,Closed,nsanchezruiz,14/Jun/23 12:26 PM,21/Jun/23 12:00 AM,25/Jul/23 10:31 AM,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
35,CI-8800,480038,Configure,kgostynska,14/Jun/23 12:23 PM,21/Jun/23 12:00 AM,,Eutelsat,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
36,CI-8753,478233,Closed,jbonnavion,08/Jun/23 4:41 PM,15/Jun/23 12:00 AM,24/Jul/23 3:41 PM,ProcurX,SR - Partner,DataSets\in_progress_PI23.3-1.csv,PI23.3-1
37,CI-8745,477471,Closed,kgostynska,07/Jun/23 8:28 AM,14/Jun/23 12:00 AM,21/Jul/23 12:05 PM,Egis,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
38,CI-8729,476852,Verify,mmaciejczyk,05/Jun/23 3:08 PM,12/Jun/23 12:00 AM,,Holtzbrink,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
39,CI-8705,475958,Closed,nsanchezruiz,01/Jun/23 9:26 AM,08/Jun/23 12:00 AM,04/Aug/23 8:59 AM,DER,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
40,CI-8702,475830,Communicate,mmaciejczyk,31/May/23 3:59 PM,07/Jun/23 12:00 AM,,Endress Hauser,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
41,CI-8689,475132,Closed,yutaka.yasumi,30/May/23 1:14 AM,06/Jun/23 12:00 AM,19/Jul/23 9:47 AM,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
42,CI-8688,475122,Closed,ssanz,29/May/23 5:01 PM,05/Jun/23 12:00 AM,14/Jul/23 11:07 AM,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
43,CI-8682,474597,Closed,yutaka.yasumi,26/May/23 3:31 AM,09/Jun/23 12:00 AM,12/Jul/23 1:51 AM,Endress Hauser,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
44,CI-8679,474387,Configure,lsada,25/May/23 9:19 AM,01/Jun/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
45,CI-8672,474081,Configure,ssanz,23/May/23 3:45 PM,30/May/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
46,CI-8659,473378,Communicate,mmaciejczyk,19/May/23 12:33 PM,26/May/23 12:00 AM,,Rehau,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
47,CI-8636,472259,Closed,yutaka.yasumi,16/May/23 12:56 AM,26/May/23 12:00 AM,26/Jul/23 8:40 AM,CMS Hasche Sigle,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
48,CI-8632,471970,Configure,yutaka.yasumi,15/May/23 2:03 AM,19/May/23 12:00 AM,,Hugo Boss,Incident Request (IR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
49,CI-8629,471820,Closed,ssanz,12/May/23 2:33 PM,19/May/23 12:00 AM,20/Jul/23 8:50 AM,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
50,CI-8607,471146,Verify,mmaciejczyk,10/May/23 5:01 PM,17/May/23 12:00 AM,,Lufthansa City Center,Incident Request (IR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
51,CI-8600,470619,Communicate,kgostynska,09/May/23 2:19 PM,16/May/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
52,CI-8599,470611,Communicate,kgostynska,09/May/23 2:05 PM,16/May/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
53,CI-8567,468092,Verify,mmaciejczyk,26/Apr/23 1:16 PM,03/May/23 12:00 AM,,CMS Hasche Sigle,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
54,CI-8562,467852,Closed,nsanchezruiz,25/Apr/23 4:05 PM,08/May/23 12:00 AM,25/Jul/23 10:31 AM,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
55,CI-8544,466548,Verify,askarja,20/Apr/23 10:01 AM,27/Apr/23 12:00 AM,,Rheinmetall,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
56,CI-8499,465411,Configure,nsanchezruiz,17/Apr/23 1:53 PM,24/Apr/23 12:00 AM,26/Jul/23 9:16 AM,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
57,CI-8489,465210,Closed,kgostynska,17/Apr/23 9:43 AM,24/Apr/23 12:00 AM,12/Jul/23 8:39 AM,ArcelorMittal,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
58,CI-8460,464251,Communicate,mmaciejczyk,11/Apr/23 2:50 PM,18/Apr/23 12:00 AM,10/May/23 11:15 AM,Burda,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
59,CI-8433,463279,Communicate,mmaciejczyk,05/Apr/23 5:12 PM,12/Apr/23 12:00 AM,,Traton SE,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
60,CI-8421,462572,Review,askarja,03/Apr/23 9:14 PM,12/Apr/23 12:00 AM,,Holtzbrink,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
61,CI-8325,456733,Communicate,mmaciejczyk,16/Mar/23 1:20 PM,23/Mar/23 12:00 AM,07/Jun/23 9:42 AM,CMS Hasche Sigle,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
62,CI-8294,454905,Communicate,mmaciejczyk,10/Mar/23 11:19 AM,17/Mar/23 12:00 AM,,VW,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
63,CI-8219,450562,Closed,kgostynska,22/Feb/23 1:28 PM,01/Mar/23 12:00 AM,11/Jul/23 12:37 PM,Amadeus,Incident Request (IR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
64,CI-8177,448686,Closed,ssanz,15/Feb/23 4:35 PM,22/Feb/23 12:00 AM,25/Jul/23 12:32 PM,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
65,CI-8164,448243,Closed,achattopadhyay,14/Feb/23 1:51 PM,21/Feb/23 12:00 AM,10/Jul/23 12:07 PM,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
66,CI-7904,437478,Closed,ssanz,20/Dec/22 5:24 PM,26/Dec/22 12:00 AM,17/Jul/23 3:05 PM,Bentley,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
67,CI-7858,435107,Clarify,ssanz,13/Dec/22 12:22 PM,20/Dec/22 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
68,CI-7253,408597,Closed,ssanz,16/Aug/22 2:54 PM,09/Dec/22 12:00 AM,25/Jul/23 3:19 PM,OBB,Service Request (SR),DataSets\in_progress_PI23.3-1.csv,PI23.3-1
0,CI-9024,490537,Clarify,kgostynska,27/Jul/23 4:12 PM,03/Aug/23 12:00 AM,,Rheinmetall,Incident Request (IR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
1,CI-9023,490511,Communicate,kgostynska,27/Jul/23 3:34 PM,03/Aug/23 12:00 AM,,VW,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
2,CI-9022,490478,Review,kuhnc,27/Jul/23 2:13 PM,04/Aug/23 12:00 AM,,OBB,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
3,CI-9018,490278,Closed,alejandro.ruizrobles,26/Jul/23 8:53 PM,28/Jul/23 12:00 AM,08/Aug/23 9:48 AM,DERPART,SR - Partner,DataSets\in_progress_PI23.3-2.csv,PI23.3-2
4,CI-9017,490268,Closed,askarja,26/Jul/23 5:55 PM,07/Aug/23 12:00 AM,08/Aug/23 11:31 AM,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
5,CI-9016,490210,Communicate,mmaciejczyk,26/Jul/23 2:34 PM,02/Aug/23 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
6,CI-9015,490207,Closed,askarja,26/Jul/23 2:29 PM,02/Aug/23 12:00 AM,01/Aug/23 1:14 AM,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
7,CI-9014,490176,Communicate,kgostynska,26/Jul/23 1:11 PM,02/Aug/23 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
8,CI-9013,490172,Review,nsanchezruiz,26/Jul/23 12:54 PM,02/Aug/23 12:00 AM,,OBB,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
9,CI-9011,490091,Closed,yutaka.yasumi,26/Jul/23 9:00 AM,31/Jul/23 12:00 AM,02/Aug/23 3:55 AM,MFTBC,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
10,CI-9009,490026,Configure,mmaciejczyk,25/Jul/23 4:26 PM,01/Aug/23 12:00 AM,,Porsche,Incident Request (IR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
11,CI-9008,489987,Communicate,ssanz,25/Jul/23 3:27 PM,01/Aug/23 12:00 AM,,Apleona,Incident Request (IR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
12,CI-9006,489967,Closed,nsanchezruiz,25/Jul/23 2:56 PM,26/Jul/23 12:00 AM,04/Aug/23 8:58 AM,Hugo Boss,Incident Request (IR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
13,CI-9005,489749,Configure,nsanchezruiz,25/Jul/23 9:46 AM,01/Aug/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
14,CI-9001,489686,Closed,ritsuko.shimizu,25/Jul/23 4:15 AM,28/Jul/23 12:00 AM,04/Aug/23 2:59 AM,Product Management,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
15,CI-9000,489666,Communicate,mmaciejczyk,24/Jul/23 4:55 PM,31/Jul/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
16,CI-8999,489633,Closed,alejandro.ruizrobles,24/Jul/23 3:46 PM,31/Jul/23 12:00 AM,02/Aug/23 3:37 PM,ProcurX,SR - Partner,DataSets\in_progress_PI23.3-2.csv,PI23.3-2
17,CI-8996,489505,Review,kgostynska,24/Jul/23 9:27 AM,01/Aug/23 12:00 AM,,Endress Hauser,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
18,CI-8994,489493,Communicate,kgostynska,24/Jul/23 8:46 AM,01/Aug/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
19,CI-8993,489264,Verify,ssanz,21/Jul/23 2:18 PM,28/Jul/23 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
20,CI-8991,489114,Communicate,yutaka.yasumi,21/Jul/23 2:54 AM,28/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
21,CI-8984,488793,Closed,kgostynska,19/Jul/23 2:10 PM,26/Jul/23 12:00 AM,02/Aug/23 9:24 AM,msg systems,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
22,CI-8977,488319,Import to Customer Test System,mmaciejczyk,17/Jul/23 3:39 PM,24/Jul/23 12:00 AM,,Holtzbrink,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
23,CI-8973,488242,Configure,askarja,17/Jul/23 12:53 PM,24/Jul/23 12:00 AM,,Burda,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
24,CI-8966,487772,Communicate,mmaciejczyk,13/Jul/23 3:26 PM,20/Jul/23 12:00 AM,,Nedschroef,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
25,CI-8960,487528,Closed,askarja,13/Jul/23 1:01 AM,20/Jul/23 12:00 AM,01/Aug/23 11:50 PM,Holtzbrink,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
26,CI-8959,487526,Closed,askarja,13/Jul/23 12:51 AM,20/Jul/23 12:00 AM,01/Aug/23 11:49 PM,Holtzbrink,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
27,CI-8954,487170,Closed,askarja,11/Jul/23 6:00 PM,18/Jul/23 12:00 AM,31/Jul/23 12:42 PM,Hugo Boss,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
28,CI-8952,487041,Communicate,agheorghe,11/Jul/23 12:27 PM,12/Jul/23 12:00 AM,,TotalEnergies,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
29,CI-8949,486647,Configure,nsanchezruiz,10/Jul/23 2:01 PM,17/Jul/23 12:00 AM,,OBB,Incident Request (IR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
30,CI-8947,486492,Closed,alejandro.ruizrobles,10/Jul/23 10:16 AM,17/Jul/23 12:00 AM,01/Aug/23 10:12 AM,Munckhof,SR - Partner,DataSets\in_progress_PI23.3-2.csv,PI23.3-2
31,CI-8943,486406,Communicate,yutaka.yasumi,10/Jul/23 1:55 AM,14/Jul/23 12:00 AM,,Apleona,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
32,CI-8942,486173,Configure,ssanz,07/Jul/23 12:38 PM,14/Jul/23 12:00 AM,,Allianz,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
33,CI-8941,486015,Closed,yutaka.yasumi,07/Jul/23 1:27 AM,14/Jul/23 12:00 AM,01/Aug/23 8:18 AM,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
34,CI-8937,485918,Import in Production,mmaciejczyk,06/Jul/23 12:47 PM,13/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
35,CI-8936,485909,Import in Production,alejandro.ruizrobles,06/Jul/23 12:29 PM,13/Jul/23 12:00 AM,,ProcurX,SR - Partner,DataSets\in_progress_PI23.3-2.csv,PI23.3-2
36,CI-8930,485789,Closed,yutaka.yasumi,06/Jul/23 8:08 AM,13/Jul/23 12:00 AM,31/Jul/23 11:36 AM,msg systems,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
37,CI-8928,485756,Communicate,askarja,05/Jul/23 8:32 PM,12/Jul/23 12:00 AM,,dm-drogerie markt,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
38,CI-8927,485750,Communicate,mmaciejczyk,05/Jul/23 6:41 PM,12/Jul/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
39,CI-8922,485403,Configure,alejandro.ruizrobles,04/Jul/23 12:58 PM,14/Jul/23 12:00 AM,,ProcurX,SR - Partner,DataSets\in_progress_PI23.3-2.csv,PI23.3-2
40,CI-8918,485165,Verify,mmaciejczyk,03/Jul/23 1:11 PM,10/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
41,CI-8912,484852,Communicate,mmaciejczyk,30/Jun/23 1:57 PM,07/Jul/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
42,CI-8910,484664,Configure,askarja,29/Jun/23 9:05 PM,27/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
43,CI-8909,484660,Configure,askarja,29/Jun/23 8:46 PM,07/Jul/23 12:00 AM,,Bentley,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
44,CI-8883,484083,Import in Production,yutaka.yasumi,28/Jun/23 5:20 AM,05/Jul/23 12:00 AM,,Burda,Incident Request (IR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
45,CI-8876,483789,Import in Production,askarja,26/Jun/23 11:46 PM,03/Jul/23 12:00 AM,,Heidelberg Cement,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
46,CI-8874,483783,Review,askarja,26/Jun/23 8:21 PM,03/Jul/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
47,CI-8846,483197,Configure,kgostynska,23/Jun/23 8:51 AM,10/Jul/23 12:00 AM,,LKW Walter,Incident Request (IR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
48,CI-8800,480038,Configure,kgostynska,14/Jun/23 12:23 PM,21/Jun/23 12:00 AM,,Eutelsat,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
49,CI-8729,476852,Verify,mmaciejczyk,05/Jun/23 3:08 PM,12/Jun/23 12:00 AM,,Holtzbrink,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
50,CI-8705,475958,Closed,nsanchezruiz,01/Jun/23 9:26 AM,08/Jun/23 12:00 AM,04/Aug/23 8:59 AM,DER,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
51,CI-8702,475830,Communicate,mmaciejczyk,31/May/23 3:59 PM,07/Jun/23 12:00 AM,,Endress Hauser,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
52,CI-8679,474387,Configure,lsada,25/May/23 9:19 AM,01/Jun/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
53,CI-8672,474081,Configure,ssanz,23/May/23 3:45 PM,30/May/23 12:00 AM,,Porsche,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
54,CI-8659,473378,Communicate,mmaciejczyk,19/May/23 12:33 PM,26/May/23 12:00 AM,,Rehau,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
55,CI-8632,471970,Configure,yutaka.yasumi,15/May/23 2:03 AM,19/May/23 12:00 AM,,Hugo Boss,Incident Request (IR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
56,CI-8607,471146,Verify,mmaciejczyk,10/May/23 5:01 PM,17/May/23 12:00 AM,,Lufthansa City Center,Incident Request (IR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
57,CI-8600,470619,Communicate,kgostynska,09/May/23 2:19 PM,16/May/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
58,CI-8599,470611,Communicate,kgostynska,09/May/23 2:05 PM,16/May/23 12:00 AM,,Amadeus,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
59,CI-8567,468092,Verify,mmaciejczyk,26/Apr/23 1:16 PM,03/May/23 12:00 AM,,CMS Hasche Sigle,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
60,CI-8544,466548,Verify,askarja,20/Apr/23 10:01 AM,27/Apr/23 12:00 AM,,Rheinmetall,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
61,CI-8460,464251,Communicate,mmaciejczyk,11/Apr/23 2:50 PM,18/Apr/23 12:00 AM,10/May/23 11:15 AM,Burda,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
62,CI-8433,463279,Communicate,mmaciejczyk,05/Apr/23 5:12 PM,12/Apr/23 12:00 AM,,Traton SE,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
63,CI-8421,462572,Review,askarja,03/Apr/23 9:14 PM,12/Apr/23 12:00 AM,,Holtzbrink,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
64,CI-8325,456733,Communicate,mmaciejczyk,16/Mar/23 1:20 PM,23/Mar/23 12:00 AM,07/Jun/23 9:42 AM,CMS Hasche Sigle,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
65,CI-8294,454905,Communicate,mmaciejczyk,10/Mar/23 11:19 AM,17/Mar/23 12:00 AM,,VW,Service Request (SR),DataSets\in_progress_PI23.3-2.csv,PI23.3-2
