Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Created from Investigation Task),Inward issue link (Created from Investigation Task),Inward issue link (Duplicate),Inward issue link (Feature - LPM Epic),Outward issue link (Feature - LPM Epic),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (ART Sync Notes),Custom field (Activity),Custom field (Actual Business Value),Custom field (Actual Iteration),Custom field (Actual downtime),Custom field (Additional Information),Custom field (Affected Products),Custom field (Automatic Transition),Custom field (Benefit Hypothesis),Custom field (Business Justification),Custom field (Case Creation Date),Custom field (Case Creation Date/Time),Custom field (Case Number/s),Custom field (Category of problem),Custom field (Client status),Custom field (Commitment Level),Custom field (Complexity),Custom field (Configure),Custom field (CustomLogic),Custom field (Customer/s),Custom field (Customer/s),Custom field (Customer/s),Custom field (DB Change included),Custom field (Date of First Response [CHART]),Custom field (Developer),Custom field (EMS Database Version/s),Custom field (Effective Assignee),Custom field (Effective Resolution),Custom field (Effective Status),Custom field (Environment types),Custom field (Epic Link),Custom field (Escalation contact),Custom field (Executive Summary),Custom field (Expected Behavior),Custom field (Expected downtime),Custom field (Expense Database Version/s),Custom field (External Expert),Custom field (Fallback procedure),Custom field (Feature Validation),Custom field (Feature Validation Result),Custom field (Feature Validation Test Set URL),Custom field (Findings),Custom field (Fix Priority),Custom field (General Information),Custom field (ITS Team Assigned),Custom field (Import),Custom field (Import),Custom field (Import),Custom field (Incident date/time),Custom field (Initial Request Date by Customer),Custom field (Investigating Methods),Custom field (Is planned),Custom field (Issue Links Overview),Custom field (Job Size (WSJF)),Custom field (MDs spend),Custom field (Memory),Custom field (Notes),Custom field (OLD Agile Release Train (ART)),Custom field (Original story points),Custom field (PCI-DSS Reviews),Custom field (PCI-DSS related),Custom field (PDef Transition),Custom field (PSD document),Custom field (Parent Key),Custom field (Parent Link),Custom field (Personal Notes),Custom field (Planned Business Value),Custom field (Planned Iteration),Custom field (Product Definition),Custom field (Proposed Corrective Actions),Custom field (Proposed Solution),Custom field (Rank),Custom field (Reason to Reopen),Custom field (Reason to Suspend),Custom field (Rejection reason),Custom field (Release Date),Custom field (Release Notes),Custom field (Reported Date),Custom field (Request Type),Custom field (Required Skill Level),Custom field (Resources),Custom field (Restart Category),Custom field (Restart Type),Custom field (Retention or Growth (WSJF)),Custom field (Review Date),Custom field (Risk Reduction/Opportunity (WSJF)),Custom field (Risk Reduction/Opportunity explanation),Custom field (Risks),Custom field (Root Cause),Custom field (SAFe Epic Type),Custom field (SAFe Feature Type),Custom field (SOR document),Custom field (Security/PCI Compliance Decision),Custom field (Server : System : Location : Division),Custom field (Session),Custom field (Severity),Custom field (Showstopper (WSJF)),Custom field (Showstopper explanation),Custom field (Size),Custom field (Slot time frame),Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Status Information),Custom field (Status Information),Custom field (Story Points),Custom field (Subtask Overview),Custom field (Support from FT),Custom field (Suspended),Custom field (System),Custom field (T-Shirt sized estimation),Custom field (TMS location/division affected),Custom field (Target end),Custom field (Target end),Custom field (Target start),Custom field (Target start),Custom field (Team),Custom field (Test Set URL),Custom field (Testing and Validation),Custom field (Time Criticality (WSJF)),Custom field (Time Criticality explanation),Custom field (Timeline),Custom field (Total Expense Volume p.a.),Custom field (Travel QA Responsible),Custom field (Type of Expense Delivery Task),Custom field (Type of Request),Custom field (URL),Custom field (UX Analyst),Custom field (UX Guidelines),Custom field (UX Researcher),Custom field (UX Visual Designer),Custom field (UX Writer),Custom field (UXR Deliverables),Custom field (UXR Personas),Custom field (UXW RTM Code),Custom field (User-business Value (WSJF)),Custom field (User-business Value explanation),Custom field (Validation),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
ARD / add new calculation for private time and business time on the same calender day ,CI-7801,432256,Expense Delivery,Review,CI,codebusters,software,rohkamm,,,,,mueller,mueller,12/2/2022 9:14,12/2/2022 9:30,12/5/2022 15:24,,12/8/2022 0:00,0,,,,,"Please confugure the following new calculation/custom logic:

When a user ticks the checkbox ""private extension/interruption"" on the same calender day on which he also had business time, then the per diems should not be suppressed for the whole absence day but the per diems should be calculated per country marked in yellow in the attached screenshot of the BMF letter for an absence for more than 8 hours per calender day, for example for Germany 14 EUR instead of 28 EUR. 

We have the same logic for customer Porsche AG, so you can copy/paste it.

 !image-2022-12-02-09-12-45-113.png|thumbnail! 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/Dec/22 9:12 AM;mueller;image-2022-12-02-09-12-45-113.png;https://jira.ifao.net/secure/attachment/175118/image-2022-12-02-09-12-45-113.png,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,Committed,,Configure,,ARD.ZDF,,,,,dykiert,,Unassigned,,Review / New,,CI-7678,,,,,,,,,,,,,,,Customer Test System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzyzuzzy,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,https://staging.cytric.net/ama-de-ard-staging,,3 - Medium,YES,,,,Codebusters-PI5.4,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@85641879,,,,,,,,,,,,,0,,,,,,Project,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARD / adjustment for display ""Werbungskosten"" for private time on PDF Report",CI-7800,432248,Expense Delivery,Review,CI,codebusters,software,rohkamm,,,,,mueller,mueller,12/2/2022 9:02,12/2/2022 9:30,12/5/2022 15:24,,12/6/2022 0:00,0,,,,,"Please make the following adjustment on PDF Report:

1. When a user tick the checkbox ""Private Extension/Interruption"" and thus renounced of the per diems, these suppressed per diems should not be displayed as ""Werbungskosten"" on the PDF Report, see attachment (42 EUR)

2. Please check, why in the attached screenshot 12 EUR is show as ""Einkommenssteuerrelevant"" and please correct this wrong behavior. 

 !image-2022-12-02-09-01-23-915.png|thumbnail! ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/Dec/22 9:01 AM;mueller;image-2022-12-02-09-01-23-915.png;https://jira.ifao.net/secure/attachment/175108/image-2022-12-02-09-01-23-915.png,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,Committed,,Configure,,ARD.ZDF,,,,,dykiert,,Unassigned,,Review / New,,CI-7678,,,,,,,,,,,,,,,Customer Test System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzyzuzzw,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,https://staging.cytric.net/ama-de-ard-staging,,3 - Medium,YES,,,,Codebusters-PI5.4,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@856aaa8e,,,,,,,,,,,,,0,,,,,,Project,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD / add numbering for vehicle types ,CI-7799,432238,Expense Delivery,Review,CI,codebusters,software,rohkamm,,,,,mueller,mueller,12/2/2022 8:35,12/2/2022 9:30,12/5/2022 15:24,,12/7/2022 0:00,0,,,,,"Please add the following numbering for the vehicles types:

1. PKW (kleine Wegestrecke)
2. PKW reduziert
3. PKW (große Wegstrecke)
4. Motorrad/Motoroller 
5. Moped/Mofa 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,Committed,,Configure,,ARD.ZDF,,,,,dykiert,,Unassigned,,Review / New,,CI-7678,,,,,,,,,,,,,,,Customer Test System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzyzuzzu,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,https://staging.cytric.net/ama-de-ard-staging,,3 - Medium,YES,,,,Codebusters-PI5.4,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@87b4e1cc,,,,,,,,,,,,,0,,,,,,Project,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD / add validation rule for private overnight stay in combination with private time ,CI-7797,432233,Expense Delivery,Review,CI,codebusters,software,rohkamm,,,,,mueller,mueller,12/2/2022 8:07,12/2/2022 8:39,12/5/2022 15:24,,12/7/2022 0:00,0,,,,,"Please configure the following validation rule:

When the user tick the checkbox ""Interruption/Private extension"" it must be prevented that a private overnight stay can be charged and calculated for this calender day/period.
The user may not receive the amount for this overnight stay.

Please add the following error message:
Wenn es sich um Privatzeit oder eine Unterbrechung der Reise handelt, dann darf keine private Übernachtung abgerechnet werden! ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,Committed,,Configure,,ARD.ZDF,,,,,dykiert,,Unassigned,,Review / New,,CI-7678,,,,,,,,,,,,,,,Customer Test System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzyzuzzh,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,https://staging.cytric.net/ama-de-ard-staging,,3 - Medium,YES,,,,Codebusters-PI5.4,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@87b779b1,,,,,,,,,,,,,0,,,,,,Project,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numiga OGE - Remove % sign for FDFs,CI-7796,432196,Expense Delivery,Verify,CI,codebusters,software,rohkamm,,,,,aruizrobles,aruizrobles,12/1/2022 18:44,12/5/2022 11:20,12/5/2022 15:24,,12/8/2022 0:00,0,Partners,,,,"System: ama-bcd-oge-de

Hello team,

Please, remove the % sign for the percentage cost center FDF. It affects all the percentage cost center FDFs in the configuration.

Thank you!

Alejandro",,aruizrobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,12/1/2022 0:00,,2-16907404883,,,Committed,,Configure,,Numiga,,,,,,,Alejandro RUIZ ROBLES,,Verify / New,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzyzuzzg,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server: amademea ; BALI
System: ama-bcd-oge-de
Configuration: main",,3 - Medium,YES,,,,Codebusters-PI5.4,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@fb13308c,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMADEUS:private accommodation validation ,CI-7795,432002,Expense Delivery,Review,CI,codebusters,software,rohkamm,,,,,nsanchez,nsanchez,12/1/2022 13:05,12/2/2022 8:19,12/5/2022 15:24,,12/15/2022 0:00,0,CLBoard_Pending,,,,"h3. request:

 
{{in accommodation- private stay option make the values reimbursed to the employee for each night as bellow,  and they cannot claim more than 3 nights (3 nights maximum).}}

!image-2022-12-01-13-58-57-321.png|width=726,height=168!
[!image-2022-12-01-13-02-28-072.png|width=614,height=119,id=x_0-weu-d14-54c2880b5157115901002b16bbea057c!|https://eu-prod.asyncgw.teams.microsoft.com/v1/objects/0-weu-d14-54c2880b5157115901002b16bbea057c/views/imgo]
 

locations and price:
|Code|Entity|Amount |
|1091|Amadeus North America, Inc|25 USD|
|1019|Amadeus Canada|25 USD|
|1105|Amadeus Global Ops. America|25 USD|
|1104|Amadeus Customer Center America|25 USD|
|1086|Amadeus Costa Rica|25 USD|
|1087|Amadeus Dominican Republi|25 USD|
|1088|Amadeus El Salvador|25 USD|
|1094|Amadeus Guatemala|25 USD|
|1190|TravelClick, Inc. |25 USD|
|1195|TravelClick Canada |25 USD|
|1191|TravelClick Europe, S.L. |25 USD|
|1135|Amadeus Hospitality Americas, Inc. and NMTI Holdings, Inc|25 USD|
|1137|Amadeus Hospitality Asia Pacific Pte. Ltd (Singapore)|25 USD|
|1149|Amadeus Hospitality Netherland B.V. (iTesso B.V.)|25 USD|
|1148|Amadeus Airport IT America|25 USD|
|1142|Navitaire LLC (Salt Lake City & Minneapolis Locations)|25 USD|
|1139|NMTI Holdings, Inc|25 USD|
|1197|TravelClick Asia Pty (Australia) |27 AUD|
| | | |

 
h3. target:

is above possible and approved? client advised this is already implemented for benelux ITG location

can you give us estimation ED if possible?

thank you

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/Dec/22 1:02 PM;nsanchez;image-2022-12-01-13-02-28-072.png;https://jira.ifao.net/secure/attachment/174969/image-2022-12-01-13-02-28-072.png,01/Dec/22 1:58 PM;nsanchez;image-2022-12-01-13-58-57-321.png;https://jira.ifao.net/secure/attachment/174979/image-2022-12-01-13-58-57-321.png,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,11/23/2022 0:00,,2-16871587373,,,Committed,,Configure,TRUE,Amadeus,,,,,,,Unassigned,,Review / New,,,,,,,,,,,,,,,,,Productive System,Test System,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzyzuzzf,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"system: ama-es-amadeus
server:amadeus
locations: ( added in case)",,3 - Medium,YES,,,,Codebusters-PI5.4,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@35748628,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutschlandradion - activate Corporate Layer for Expense,CI-7794,431986,Expense Delivery,Import to Test,CI,codebusters,software,rohkamm,,,,,skarja,skarja,12/1/2022 12:38,12/5/2022 14:15,12/5/2022 15:24,,12/8/2022 0:00,0,FridaySweep,,,,"Dear colleagues,

please activate Corporate Layer ""Deutschlandradio CL2022"" (CIB ID 5370698) for the destination field - free entry should still be allowed. 

 
{{{}<{}}}{{{}dataFieldDescriptor{}}} {{{}code{}}}{{{}={}}}{{{}""cytricSearchCorporateLayerActivated""{}}} {{{}type{}}}{{{}={}}}{{{}""Text""{}}} {{{}defaultValue{}}}{{{}={}}}{{{}""true""{}}}{{{}>{}}}
{{  }}{{{}<{}}}{{{}assignTo{}}}{{{}>{}}}
{{    }}{{{}<{}}}{{{}assign{}}} {{{}type{}}}{{{}={}}}{{{}""${CLASS_TimedConfiguration}""{}}} {{/>}}
{{  }}{{{}</{}}}{{{}assignTo{}}}{{{}>{}}}
{{  }}{{{}<{}}}{{{}nameTranslation{}}}{{{}>{}}}
{{    }}{{{}<{}}}{{{}name{}}} {{{}locale{}}}{{{}={}}}{{{}""en_US""{}}}{{{}>cytricSearchCorporateLayerActivated</{}}}{{{}name{}}}{{{}>{}}}
{{    }}{{{}<{}}}{{{}name{}}} {{{}locale{}}}{{{}={}}}{{{}""de_DE""{}}}{{{}>cytricSearchCorporateLayerActivated</{}}}{{{}name{}}}{{{}>{}}}
{{  }}{{{}</{}}}{{{}nameTranslation{}}}{{{}>{}}}
{{  }}{{{}<{}}}{{{}descriptionTranslation{}}}{{{}>{}}}
{{    }}{{{}<{}}}{{{}name{}}} {{{}locale{}}}{{{}={}}}{{{}""en_US""{}}}{{{}>cytricSearchCorporateLayerActivated</{}}}{{{}name{}}}{{{}>{}}}
{{    }}{{{}<{}}}{{{}name{}}} {{{}locale{}}}{{{}={}}}{{{}""de_DE""{}}}{{{}>cytricSearchCorporateLayerActivated</{}}}{{{}name{}}}{{{}>{}}}
{{  }}{{{}</{}}}{{{}descriptionTranslation{}}}{{{}>{}}}
{{  }}{{{}<{}}}{{{}roles{}}}{{{}>{}}}
{{    }}{{{}<{}}}{{{}canSee{}}} {{{}name{}}}{{{}={}}}{{{}""ExpenseStatementOwner""{}}} {{/>}}
{{    }}{{{}<{}}}{{{}canSee{}}} {{{}name{}}}{{{}={}}}{{{}""ExpenseArranger""{}}} {{/>}}
{{    }}{{{}<{}}}{{{}canSee{}}} {{{}name{}}}{{{}={}}}{{{}""ExpenseApproverRestricted""{}}} {{/>}}
{{    }}{{{}<{}}}{{{}canSee{}}} {{{}name{}}}{{{}={}}}{{{}""ExpenseApproverFinal""{}}} {{/>}}
{{    }}{{{}<{}}}{{{}canSee{}}} {{{}name{}}}{{{}={}}}{{{}""ExpenseAuditor""{}}} {{/>}}
{{    }}{{{}<{}}}{{{}canSee{}}} {{{}name{}}}{{{}={}}}{{{}""ExpenseAccountant""{}}} {{/>}}
{{    }}{{{}<{}}}{{{}canSee{}}} {{{}name{}}}{{{}={}}}{{{}""ExportProcess""{}}} {{/>}}
{{    }}{{{}<{}}}{{{}canSee{}}} {{{}name{}}}{{{}={}}}{{{}""ExpenseManager""{}}} {{/>}}
{{    }}{{{}<{}}}{{{}canSee{}}} {{{}name{}}}{{{}={}}}{{{}""ExpenseAdministrator""{}}} {{/>}}
{{  }}{{{}</{}}}{{{}roles{}}}{{{}>{}}}
{{{}</{}}}{{{}dataFieldDescriptor{}}}{{{}>{}}}

 

Thank you in advance and best regards,

Annette",,skarja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,11/30/2022 0:00,,2-16900295773,,,Committed,,Configure,,Deutschlandradio,,,,,,,Unassigned,,Import to Test / New,,,,,,,,,,,,,,,,,Customer Test System,Productive System,Test System,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@0,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzyzuzze,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"server:     mega
system:   deutschlandradio
url:          https://bali.sofia.ifao.net/ibe/?system=deutschlandradio
               https://staging.cytric.net/deutschlandradio-test
               https://mega.cytric.net/deutschlandradio",,3 - Medium,YES,,,,Codebusters-PI5.4,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@a0d82b2c,,,,,,,,,,,,,0,,,,,,Service Request (SR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EH:fix java script for error ITE-1405,CI-7793,431947,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,nsanchez,nsanchez,12/1/2022 11:55,12/5/2022 14:19,12/2/2022 10:09,12/2/2022 10:50,12/2/2022 0:00,0,,,,,"as per investigation of ITE-1405

please fix script:

 

The scripts throwing the errors are:

!image-2022-12-01-11-54-02-193.png!

f you use _{*}java{*}.util.Arrays_ in a *JavaScript* environment you better import it before using it:
{code:java}
importClass(java.util.Arrays); {code}
or
{code:java}
const Arrays = Java.type(""java.util.Arrays""); {code}",,ebert,,,,,,,,,,,,,,,,,,,,,,,,CI-7791,,,ITE-1405,,,,,,01/Dec/22 11:54 AM;nsanchez;image-2022-12-01-11-54-02-193.png;https://jira.ifao.net/secure/attachment/174960/image-2022-12-01-11-54-02-193.png,02/Dec/22 9:58 AM;nsanchez;image-2022-12-02-09-58-36-965.png;https://jira.ifao.net/secure/attachment/175126/image-2022-12-02-09-58-36-965.png,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,12/1/2022 0:00,,2-16904663503,,,Committed,,Configure,,Endress Hauser,,,,,,,,,Closed (relates to),,,,,,,,,,,,,,,,,Customer Test System,Productive System,Test System,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@6d7873f,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzyzuzzdi,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"system: ama-ch-eh
server:amadeus
location: Endress+Hauser s.p.a., Cernusco, Italy",,2 - Serious,YES,,,,Codebusters-PI5.4,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,02/Dec/22 9:58 AM;nsanchez;bali ok  !image-2022-12-02-09-58-36-965.png!;;;,,,,,,,,,,,,,,,,,,,,,,,,,,
Allianz - Set up the export configuration for Spanish location,CI-7792,431942,Expense Delivery,Closed,CI,codebusters,software,rohkamm,,,Done,,ssanz,ssanz,12/1/2022 11:33,12/2/2022 7:57,12/5/2022 14:23,12/1/2022 14:33,12/8/2022 0:00,0,escalated,TOP_Customer,,,"Dear Team,

Please could you setup the export configuration to """"ES-Allianz Technology SE"" instead ""ES-Allianz Technology Sucursal en Espana"".

Thank you.

Best regards,

Sandra

 

!image-2022-12-01-11-30-41-313.png|width=618,height=267!",,ebert,ssanz,,,,,,,,,,,,,,,,,,,,,,,,,,ITE-1402,,,,,,01/Dec/22 11:30 AM;ssanz;image-2022-12-01-11-30-41-313.png;https://jira.ifao.net/secure/attachment/174949/image-2022-12-01-11-30-41-313.png,01/Dec/22 2:05 PM;mstaszek;image-2022-12-01-14-05-11-418.png;https://jira.ifao.net/secure/attachment/174980/image-2022-12-01-14-05-11-418.png,01/Dec/22 2:13 PM;mstaszek;image-2022-12-01-14-13-17-013.png;https://jira.ifao.net/secure/attachment/174982/image-2022-12-01-14-13-17-013.png,01/Dec/22 2:20 PM;mstaszek;image-2022-12-01-14-20-07-817.png;https://jira.ifao.net/secure/attachment/174983/image-2022-12-01-14-20-07-817.png,,,,,,,,,,,,,,,,,,7,,,,,,,,,11/28/2022 0:00,,2-16888028133,,,Committed,,Configure,,Allianz,,,,06:21.6,,,,,Closed,,,,,,,,,,,,,,,,,Productive System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@1e789640,0,,,,,,Hello,,,,,,,,,,,,0|i1v3mn:,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,"Server amadeus
System ama-de-allianz
Location ES-Allianz Technology SE",,3 - Medium,YES,,,,,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@0,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,"01/Dec/22 2:06 PM;mstaszek;Hello [~ssanz] :)

!image-2022-12-01-14-05-11-418.png!

 

There is also a job for reminder mail but I see that for some reason it was paused. Should we also add it for location -> ES-Allianz Technology SE;;;","01/Dec/22 2:10 PM;ssanz;Hi [~mstaszek] , Yes please go ahead and change the reminder email to the new location. Thank you. BR, Sandra;;;","01/Dec/22 2:13 PM;mstaszek;[~ssanz] Export job created:

!image-2022-12-01-14-13-17-013.png!;;;","01/Dec/22 2:20 PM;mstaszek;[~ssanz] reminder mail job created:
!image-2022-12-01-14-20-07-817.png!;;;",02/Dec/22 7:57 AM;wenner;Thank you [~mstaszek] :);;;,,,,,,,,,,,,,,,,,,,,,,
DefaultScriptedElementCalculator for system ama-ch-eh throws Error,CI-7791,431904,Expense Delivery,Communicate,CI,codebusters,software,rohkamm,,,,,hausmann,hausmann,12/1/2022 10:37,12/5/2022 14:19,12/5/2022 15:24,,12/2/2022 0:00,0,,,,,"During our daily log check we encountered hundreds of errors coming from DefaultScriptedElementCalculator on ama-ch-eh

 
net.ifao.expense.calculation.expense.all.customCalculators.DefaultScriptedElementCalculator: Error occured
|ReferenceError: ""Arrays"" is not defined|

CorrelationID: 8BF04132355A4BF49FDDAC1BC850C78A",,hausmann,,,,,,,,,,,,,,,,,,,,,,,,,,,CI-7793,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,Committed,,Configure,TRUE,Amadeus,,,,,,,Nils HAUSMANN,,Communicate / New,,,,,,,,,,,,,,,,,Productive System,,,,,,,net.ifao.jira.plugin.pmi.impl.field.searcher.issuelinksoverview.IssueLinksOverview@5d63bb8d,0,,,,,,Hello,,,,,,,,,,,,0|i1rkcl:hzyzuzzd,,,,,,,,,,,,Retention,,0,,,,,Functional Feature,,,,,3 - Medium,YES,,,,Codebusters-PI5.4,,,,,,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@7a72305a,net.ifao.jira.plugin.pmi.impl.field.StatusInformation.StatusInformation@48fc95f6,,net.ifao.jira.plugin.pmi.impl.field.searcher.subtaskoverview.SubtaskOverview@5c5856cf,,,,,,,,,,,,,0,,,,,,Incident Request (IR),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
